From fa scan:
Fixed   = D(9,10,21,22), S, 50, 1.0000
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.092820 -46.1165  -44.75920
0.000101 0.092826 -45.1166  -44.14000
0.000232 0.092844 -44.1166  -43.52890
0.000373 0.092875 -43.1166  -42.91205
0.000522 0.092920 -42.1166  -42.31335
0.000687 0.092978 -41.1166  -41.72895
0.000870 0.093050 -40.1166  -41.15135
0.001070 0.093135 -39.1166  -40.57005
0.001291 0.093234 -38.1166  -39.98115
0.001529 0.093347 -37.1166  -39.40970
0.001789 0.093474 -36.1166  -38.81895
0.002067 0.093615 -35.1166  -38.23970
0.002363 0.093771 -34.1166  -37.66480
0.002677 0.093941 -33.1166  -37.09635
0.003010 0.094126 -32.1166  -36.52995
0.003360 0.094326 -31.1166  -35.96405
0.003729 0.094542 -30.1166  -35.40135
0.004117 0.094773 -29.1166  -34.83995
0.004523 0.095019 -28.1166  -34.27620
0.004946 0.095281 -27.1166  -33.71175
0.005388 0.095558 -26.1166  -33.15055
0.005846 0.095851 -25.1166  -32.59365
0.006321 0.096159 -24.1166  -32.03760
0.006813 0.096484 -23.1166  -31.48225
0.007323 0.096824 -22.1166  -30.93200
0.007850 0.097181 -21.1166  -30.38295
0.008396 0.097554 -20.1166  -29.82945
0.008961 0.097942 -19.1166  -29.27360
0.009544 0.098347 -18.1166  -28.70835
0.010146 0.098767 -17.1166  -28.14460
0.010767 0.099204 -16.1166  -27.57845
0.011408 0.099656 -15.1166  -26.99950
0.028494 0.095220 -14.1164   -7.06925
0.028489 0.095165 -13.1165   -6.24255
0.028507 0.095116 -12.1167   -5.46575
0.028495 0.095075 -11.1167   -4.67130
0.028483 0.095042 -10.1167   -3.88775
0.028471 0.095015  -9.1167   -3.10355
0.028462 0.094995  -8.1167   -2.30395
0.028456 0.094982  -7.1167   -1.48760
0.028444 0.094974  -6.1167   -0.66915
0.028419 0.094972  -5.1167    0.14625
0.028380 0.094975  -4.1167    0.95365
0.028326 0.094984  -3.1167    1.75590
0.028259 0.094999  -2.1167    2.54955
0.028182 0.095020  -1.1167    3.32485
0.028103 0.095047  -0.1167    4.08240
0.028025 0.095081   0.8833    4.83055
0.027942 0.095122   1.8833    5.57460
0.027854 0.095170   2.8833    6.32100
0.027760 0.095224   3.8833    7.07465

From fb scan:
Fixed   = D(9,10,21,22), S, 50, -1.000
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.093160 -45.1246  -45.84415
0.000161 0.093147 -44.1246  -45.20550
0.000334 0.093144 -43.1246  -44.57700
0.000522 0.093154 -42.1246  -43.95930
0.000727 0.093175 -41.1246  -43.35170
0.000952 0.093209 -40.1246  -42.75125
0.001201 0.093256 -39.1246  -42.15565
0.001478 0.093315 -38.1246  -41.56225
0.001781 0.093387 -37.1246  -40.95715
0.002113 0.093471 -36.1246  -40.36020
0.002460 0.093567 -35.1246  -39.76650
0.002828 0.093675 -34.1246  -39.16575
0.003209 0.093796 -33.1246  -38.56460
0.003605 0.093928 -32.1246  -37.96215
0.004021 0.094073 -31.1246  -37.36180
0.004453 0.094230 -30.1246  -36.76020
0.004904 0.094399 -29.1246  -36.15630
0.005385 0.094581 -28.1246  -35.54080
0.005898 0.094773 -27.1246  -34.92095
0.006437 0.094977 -26.1247  -34.29805
0.007019 0.095192 -25.1246  -33.67080
0.007653 0.095417 -24.1246  -33.02280
0.008309 0.095652 -23.1246  -32.36900
0.009013 0.095894 -22.1247  -31.68830
0.009752 0.096145 -21.1248  -30.99265
0.021884 0.096774 -20.1247  -22.75450
0.023440 0.096727 -19.1247  -20.93380
0.024247 0.096656 -18.1246  -19.68225
0.024786 0.096577 -17.1247  -18.65645
0.025249 0.096495 -16.1247  -17.65715
0.025687 0.096410 -15.1246  -16.66185
0.026059 0.096324 -14.1246  -15.71690
0.026350 0.096237 -13.1246  -14.80915
0.026641 0.096150 -12.1246  -13.94040
0.026938 0.096065 -11.1246  -13.04610
0.027117 0.095982 -10.1246  -12.20610
0.027273 0.095902  -9.1246  -11.38495
0.027439 0.095825  -8.1246  -10.57240
0.027582 0.095753  -7.1246   -9.77090
0.027716 0.095685  -6.1246   -8.92850
0.027843 0.095620  -5.1245   -8.09585
0.027971 0.095559  -4.1245   -7.27585
0.028070 0.095503  -3.1245   -6.47645
0.028141 0.095452  -2.1245   -5.68025
0.028206 0.095406  -1.1245   -4.89055
0.028279 0.095366  -0.1245   -4.11300
0.028349 0.095333   0.8755   -3.35850
0.028396 0.095307   1.8754   -2.61240
0.028451 0.095288   2.8754   -1.87250
0.028507 0.095277   3.8754   -1.13890
0.028555 0.095273   4.8754   -0.37680
