optS0 = -1116.64682931
tdS0 = -1116.54073697
optS1 = -1116.54929349
optR1 = -1116.54777509

Name     Definition     optS0     optS1     optR1
  R1         R(1,2)    1.5554    1.5457    1.5537
  R2        R(1,11)    1.5563    1.5482    1.5535
  R3        R(1,19)    1.3917    1.3913    1.3909
  R4        R(1,20)    1.3944    1.3970    1.3847
  R5         R(2,3)    1.3366    1.3359    1.3327
  R6         R(2,9)    1.3886    1.4012    1.3989
  R7         R(3,4)    1.0879    1.0881    1.0876
  R8         R(3,5)    1.4110    1.4225    1.4207
  R9         R(5,6)    1.0852    1.0861    1.0860
 R10         R(5,7)    1.3876    1.3858    1.3874
 R11         R(7,8)    1.0865    1.0856    1.0854
 R12         R(7,9)    1.4198    1.4272    1.4237
 R13        R(9,10)    1.4020    1.4252    1.4429
 R14       R(10,18)    1.4020    1.4240    1.4429
 R15       R(10,21)    1.4817    1.4646    1.4405
 R16       R(11,12)    1.3366    1.3360    1.3328
 R17       R(11,18)    1.3889    1.4039    1.3987
 R18       R(12,13)    1.0879    1.0882    1.0876
 R19       R(12,14)    1.4109    1.4218    1.4207
 R20       R(14,15)    1.0852    1.0862    1.0861
 R21       R(14,16)    1.3877    1.3859    1.3874
 R22       R(16,17)    1.0864    1.0848    1.0856
 R23       R(16,18)    1.4197    1.4277    1.4237
 R24       R(21,22)    1.4025    1.4099    1.4185
 R25       R(21,29)    1.4024    1.4093    1.4186
 R26       R(22,23)    1.0900    1.0902    1.0875
 R27       R(22,24)    1.3903    1.3870    1.3835
 R28       R(24,25)    1.0878    1.0879    1.0878
 R29       R(24,26)    1.3895    1.3925    1.3939
 R30       R(26,27)    1.3895    1.3917    1.3939
 R31       R(26,31)    1.4756    1.4667    1.4624
 R32       R(27,28)    1.0878    1.0879    1.0879
 R33       R(27,29)    1.3903    1.3876    1.3835
 R34       R(29,30)    1.0899    1.0895    1.0876
 R35       R(31,32)    1.2126    1.2151    1.2161
 R36       R(31,33)    1.2126    1.2151    1.2160
  A1      A(2,1,11)  105.6680  104.5784  102.2110
  A2      A(2,1,19)  110.2402  110.5693  110.4921
  A3      A(2,1,20)  110.2075  110.6209  110.5190
