optS0 = -1116.64682931
tdS0 = -1116.54073697
optS1 = -1116.54929349
optR1 = -1116.54777509

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.93933  2.92087  2.93612
  R2        R(1,11)  2.94096  2.92566  2.93565
  R3        R(1,19)  2.63001  2.62918  2.62839
  R4        R(1,20)  2.63500  2.63987  2.61672
  R5         R(2,3)  2.52573  2.52451  2.51846
  R6         R(2,9)  2.62401  2.64793  2.64354
  R7         R(3,4)  2.05575  2.05615  2.05527
  R8         R(3,5)  2.66636  2.68823  2.68471
  R9         R(5,6)  2.05080  2.05252  2.05230
 R10         R(5,7)  2.62223  2.61873  2.62177
 R11         R(7,8)  2.05314  2.05150  2.05117
 R12         R(7,9)  2.68296  2.69699  2.69047
 R13        R(9,10)  2.64946  2.69326  2.72659
 R14       R(10,18)  2.64942  2.69099  2.72675
 R15       R(10,21)  2.79998  2.76761  2.72217
 R16       R(11,12)  2.52575  2.52460  2.51859
 R17       R(11,18)  2.62464  2.65294  2.64319
 R18       R(12,13)  2.05580  2.05631  2.05533
 R19       R(12,14)  2.66613  2.68677  2.68470
 R20       R(14,15)  2.05082  2.05253  2.05234
 R21       R(14,16)  2.62229  2.61901  2.62186
 R22       R(16,17)  2.05302  2.05004  2.05141
 R23       R(16,18)  2.68294  2.69801  2.69049
 R24       R(21,22)  2.65031  2.66435  2.68059
 R25       R(21,29)  2.65016  2.66318  2.68076
 R26       R(22,23)  2.05978  2.06021  2.05500
 R27       R(22,24)  2.62738  2.62096  2.61436
 R28       R(24,25)  2.05566  2.05586  2.05573
 R29       R(24,26)  2.62578  2.63142  2.63416
 R30       R(26,27)  2.62574  2.62996  2.63412
 R31       R(26,31)  2.78856  2.77168  2.76359
 R32       R(27,28)  2.05566  2.05588  2.05577
 R33       R(27,29)  2.62737  2.62217  2.61436
 R34       R(29,30)  2.05963  2.05884  2.05522
 R35       R(31,32)  2.29154  2.29614  2.29803
 R36       R(31,33)  2.29156  2.29621  2.29799
  A1      A(2,1,11)  1.84426  1.82524  1.78392
  A2      A(2,1,19)  1.92405  1.92980  1.92845
  A3      A(2,1,20)  1.92348  1.93070  1.92892
  A4     A(11,1,19)  1.92962  1.93227  1.92876
  A5     A(11,1,20)  1.91646  1.92268  1.92922
  A6     A(19,1,20)  1.92456  1.92137  1.95733
  A7       A(1,2,3)  2.19773  2.19347  2.24809
  A8       A(1,2,9)  2.19774  2.19644  2.13473
  A9       A(3,2,9)  1.88772  1.89297  1.89975
 A10       A(2,3,4)  2.10474  2.10753  2.10703
 A11       A(2,3,5)  1.92366  1.91676  1.91275
 A12       A(4,3,5)  2.25476  2.25886  2.26340
 A13       A(3,5,6)  2.19450  2.18781  2.19111
 A14       A(3,5,7)  1.86132  1.86832  1.86808
 A15       A(6,5,7)  2.22729  2.22694  2.22399
 A16       A(5,7,8)  2.22550  2.22605  2.22052
 A17       A(5,7,9)  1.86763  1.86828  1.86901
 A18       A(8,7,9)  2.18985  2.18812  2.19291
 A19       A(2,9,7)  1.88442  1.87842  1.87476
 A20      A(2,9,10)  2.11006  2.12178  2.09069
 A21      A(7,9,10)  2.28669  2.27959  2.31188
 A22     A(9,10,18)  2.09889  2.05301  1.94254
 A23     A(9,10,21)  2.08934  2.09972  2.16823
 A24    A(18,10,21)  2.09489  2.12898  2.16645
 A25     A(1,11,12)  2.19376  2.17714  2.24865
 A26     A(1,11,18)  2.19693  2.19915  2.13416
 A27    A(12,11,18)  1.88748  1.89245  1.89969
 A28    A(11,12,13)  2.10477  2.10757  2.10718
 A29    A(11,12,14)  1.92391  1.91765  1.91277
 A30    A(13,12,14)  2.25447  2.25768  2.26323
 A31    A(12,14,15)  2.19487  2.18884  2.19112
 A32    A(12,14,16)  1.86130  1.86887  1.86804
 A33    A(15,14,16)  2.22701  2.22542  2.22400
 A34    A(14,16,17)  2.22458  2.21965  2.22084
 A35    A(14,16,18)  1.86770  1.86895  1.86890
 A36    A(17,16,18)  2.19088  2.19451  2.19271
 A37    A(10,18,11)  2.10875  2.11073  2.09156
 A38    A(10,18,16)  2.29007  2.29574  2.31084
 A39    A(11,18,16)  1.88433  1.87670  1.87494
 A40    A(10,21,22)  2.09337  2.09542  2.11448
 A41    A(10,21,29)  2.09671  2.11586  2.11355
 A42    A(22,21,29)  2.09310  2.07187  2.05377
 A43    A(21,22,23)  2.09194  2.08749  2.09664
 A44    A(21,22,24)  2.09935  2.11076  2.11713
 A45    A(23,22,24)  2.09169  2.08447  2.06897
 A46    A(22,24,25)  2.12385  2.12184  2.11757
 A47    A(22,24,26)  2.06527  2.06965  2.07533
 A48    A(25,24,26)  2.09407  2.09163  2.09023
 A49    A(24,26,27)  2.14393  2.13360  2.12598
 A50    A(24,26,31)  2.06945  2.07482  2.07838
 A51    A(27,26,31)  2.06980  2.07475  2.07854
 A52    A(26,27,28)  2.09417  2.09124  2.09028
 A53    A(26,27,29)  2.06522  2.07088  2.07536
 A54    A(28,27,29)  2.12379  2.12097  2.11749
 A55    A(21,29,27)  2.09945  2.10957  2.11707
 A56    A(21,29,30)  2.09204  2.09175  2.09628
 A57    A(27,29,30)  2.09143  2.08097  2.06936
 A58    A(26,31,32)  2.05189  2.05503  2.05598
 A59    A(26,31,33)  2.05229  2.05556  2.05628
 A60    A(32,31,33)  2.17901  2.17260  2.17093
  D1    D(11,1,2,3) -3.01477 -2.86033  2.46820
  D2    D(11,1,2,9)  0.12769  0.31105 -0.63158
  D3    D(19,1,2,3) -0.92942 -0.77986 -1.76215
  D4    D(19,1,2,9)  2.21304  2.39153  1.42125
  D5    D(20,1,2,3)  1.19900  1.35325  0.41464
  D6    D(20,1,2,9) -1.94173 -1.75855 -2.68514
  D7   D(2,1,11,12)  3.11211  2.98887 -2.46702
  D8   D(2,1,11,18) -0.14996 -0.35591  0.62991
  D9  D(19,1,11,12)  1.03044  0.91006  1.76357
 D10  D(19,1,11,18) -2.23164 -2.43472 -1.42269
 D11  D(20,1,11,12) -1.09698 -1.21928 -0.41367
 D12  D(20,1,11,18)  1.92413  1.71912  2.68325
 D13     D(1,2,3,4)  0.00626  0.03902  0.04261
 D14     D(1,2,3,5) -3.14133 -3.11107 -3.09651
 D15     D(9,2,3,4) -3.13607 -3.12804 -3.13632
 D16     D(9,2,3,5) -0.00048  0.00506  0.00775
 D17     D(1,2,9,7) -3.13759  3.11486  3.08503
 D18    D(1,2,9,10) -0.05690 -0.10640  0.04542
 D19     D(3,2,9,7)  0.00474 -0.00122 -0.02214
 D20    D(3,2,9,10)  3.08543  3.06071 -3.06175
 D21     D(2,3,5,6) -3.13356 -3.13311 -3.13664
 D22     D(2,3,5,7) -0.00404 -0.00704  0.01002
 D23     D(4,3,5,6)  0.00137 -0.00097  0.00772
 D24     D(4,3,5,7)  3.13090  3.12510 -3.12880
 D25     D(3,5,7,8) -3.11391 -3.09579  3.07858
 D26     D(3,5,7,9)  0.00676  0.00603 -0.02319
 D27     D(6,5,7,8)  0.01532  0.02983 -0.05781
 D28     D(6,5,7,9)  3.13598  3.13165  3.12359
 D29     D(5,7,9,2) -0.00719 -0.00314  0.02799
 D30    D(5,7,9,10) -3.07951 -3.05530  3.04953
 D31     D(8,7,9,2)  3.11403  3.09978 -3.07459
 D32    D(8,7,9,10)  0.04171  0.04762 -0.05305
