From fa scan:
Fixed   = D(9,10,21,22), S, 24, 1.0000
Opposit = D(18,10,21,29)

          S0           S1  D_fixed  D_average
-1116.634008 -1116.544525 -19.7884  -28.51215
-1116.614516 -1116.547132 -18.7881  -10.63670
-1116.614477 -1116.547224 -17.7883   -9.84050
-1116.614435 -1116.547310 -16.7884   -9.02010
-1116.614430 -1116.547388 -15.7884   -8.22770
-1116.614424 -1116.547458 -14.7884   -7.42880
-1116.614424 -1116.547521 -13.7884   -6.63190
-1116.614441 -1116.547577 -12.7884   -5.85085
-1116.614454 -1116.547625 -11.7884   -5.06790
-1116.614471 -1116.547665 -10.7884   -4.29270
-1116.614490 -1116.547698  -9.7884   -3.52140
-1116.614505 -1116.547724  -8.7884   -2.74075
-1116.614514 -1116.547743  -7.7884   -1.94200
-1116.614530 -1116.547755  -6.7884   -1.14025
-1116.614555 -1116.547761  -5.7884   -0.34070
-1116.614588 -1116.547761  -4.7884    0.45470
-1116.614632 -1116.547755  -3.7884    1.24385
-1116.614686 -1116.547743  -2.7884    2.02635
-1116.614753 -1116.547725  -1.7884    2.79880
-1116.614830 -1116.547700  -0.7884    3.56070
-1116.614910 -1116.547668   0.2116    4.30995
-1116.614988 -1116.547630   1.2116    5.04955
-1116.615067 -1116.547584   2.2116    5.78615
-1116.615149 -1116.547531   3.2116    6.52570
-1116.615236 -1116.547471   4.2116    7.27105

From fb scan:
Fixed   = D(9,10,21,22), S, 50, -1.000
Opposit = D(18,10,21,29)

          S0           S1  D_fixed  D_average
-1116.643954 -1116.549264 -44.9817  -45.66275
-1116.643791 -1116.549282 -43.9817  -45.02360
-1116.643612 -1116.549289 -42.9817  -44.39510
-1116.643415 -1116.549284 -41.9817  -43.77725
-1116.643200 -1116.549266 -40.9817  -43.16830
-1116.642958 -1116.549237 -39.9817  -42.56565
-1116.642689 -1116.549195 -38.9817  -41.95600
-1116.642396 -1116.549140 -37.9817  -41.35985
-1116.642085 -1116.549074 -36.9817  -40.76560
-1116.641747 -1116.548995 -35.9817  -40.16435
-1116.641398 -1116.548904 -34.9818  -39.56755
-1116.641031 -1116.548801 -33.9817  -38.96575
-1116.640645 -1116.548685 -32.9817  -38.36495
-1116.640243 -1116.548557 -31.9817  -37.76355
-1116.639820 -1116.548417 -30.9817  -37.16115
-1116.639371 -1116.548264 -29.9817  -36.54905
-1116.638896 -1116.548100 -28.9817  -35.93830
-1116.638390 -1116.547924 -27.9817  -35.31720
-1116.637845 -1116.547738 -26.9817  -34.69220
-1116.637265 -1116.547540 -25.9817  -34.07055
-1116.636646 -1116.547333 -24.9817  -33.41635
-1116.636010 -1116.547115 -23.9817  -32.77205
-1116.635314 -1116.546889 -22.9817  -32.09430
-1116.634578 -1116.546655 -21.9819  -31.40790
-1116.621714 -1116.546027 -20.9817  -23.13280
-1116.620085 -1116.546090 -19.9818  -21.34355
-1116.619250 -1116.546175 -18.9817  -20.11580
-1116.618696 -1116.546267 -17.9818  -19.09435
-1116.618232 -1116.546362 -16.9817  -18.11170
-1116.617741 -1116.546460 -15.9817  -17.12900
-1116.617382 -1116.546558 -14.9817  -16.21640
-1116.617091 -1116.546657 -13.9817  -15.34320
-1116.616753 -1116.546755 -12.9817  -14.42865
-1116.616500 -1116.546851 -11.9817  -13.56835
-1116.616312 -1116.546944 -10.9817  -12.75055
-1116.616142 -1116.547034  -9.9817  -11.94190
-1116.615986 -1116.547120  -8.9817  -11.13975
-1116.615839 -1116.547201  -7.9817  -10.34490
-1116.615689 -1116.547278  -6.9817   -9.52725
-1116.615550 -1116.547351  -5.9816   -8.70585
-1116.615430 -1116.547419  -4.9816   -7.90000
-1116.615330 -1116.547483  -3.9816   -7.10905
-1116.615244 -1116.547542  -2.9816   -6.32775
-1116.615170 -1116.547595  -1.9816   -5.54865
-1116.615105 -1116.547641  -0.9816   -4.77495
-1116.615047 -1116.547682   0.0184   -4.01325
-1116.614990 -1116.547715   1.0184   -3.26585
-1116.614931 -1116.547742   2.0183   -2.52835
-1116.614883 -1116.547760   3.0183   -1.78640
-1116.614841 -1116.547771   4.0183   -1.05645
-1116.614775 -1116.547775   5.0183   -0.29290
