optS0 = -912.193819765
tdS0 = -912.085111445
optS1 = -912.094905394
optR1 = -912.092008996

Name     Definition     optS0     optS1     optR1
  R1         R(1,2)    1.5525    1.5436    1.5508
  R2        R(1,11)    1.5534    1.5455    1.5506
  R3        R(1,19)    1.3942    1.3944    1.3946
  R4        R(1,20)    1.3968    1.4003    1.3874
  R5         R(2,3)    1.3380    1.3385    1.3353
  R6         R(2,9)    1.3888    1.4018    1.3991
  R7         R(3,4)    1.0879    1.0881    1.0876
  R8         R(3,5)    1.4093    1.4211    1.4186
  R9         R(5,6)    1.0853    1.0863    1.0862
 R10         R(5,7)    1.3892    1.3868    1.3889
 R11         R(7,8)    1.0863    1.0856    1.0854
 R12         R(7,9)    1.4184    1.4280    1.4239
 R13        R(9,10)    1.4049    1.4231    1.4440
 R14       R(10,18)    1.4049    1.4224    1.4441
 R15       R(10,21)    1.4785    1.4716    1.4460
 R16       R(11,12)    1.3380    1.3385    1.3353
 R17       R(11,18)    1.3891    1.4039    1.3990
 R18       R(12,13)    1.0879    1.0882    1.0876
 R19       R(12,14)    1.4091    1.4206    1.4186
 R20       R(14,15)    1.0853    1.0863    1.0862
 R21       R(14,16)    1.3892    1.3869    1.3889
 R22       R(16,17)    1.0862    1.0851    1.0855
 R23       R(16,18)    1.4184    1.4285    1.4240
 R24       R(21,22)    1.4030    1.4060    1.4155
 R25       R(21,29)    1.4030    1.4056    1.4155
 R26       R(22,23)    1.0908    1.0914    1.0884
 R27       R(22,24)    1.3928    1.3923    1.3889
 R28       R(24,25)    1.0902    1.0905    1.0904
 R29       R(24,26)    1.3955    1.3960    1.3970
 R30       R(26,27)    1.3955    1.3955    1.3969
 R31       R(26,31)    1.0904    1.0904    1.0901
 R32       R(27,28)    1.0902    1.0905    1.0905
 R33       R(27,29)    1.3927    1.3928    1.3888
 R34       R(29,30)    1.0907    1.0909    1.0884
  A1      A(2,1,11)  105.7941  104.8827  102.5946
