optS0 = -912.193819765
tdS0 = -912.085111445
optS1 = -912.094905394
optR1 = -912.092008996

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.93383  2.91706  2.93067
  R2        R(1,11)  2.93543  2.92062  2.93016
  R3        R(1,19)  2.63469  2.63502  2.63535
  R4        R(1,20)  2.63957  2.64624  2.62178
  R5         R(2,3)  2.52837  2.52949  2.52326
  R6         R(2,9)  2.62445  2.64904  2.64399
  R7         R(3,4)  2.05575  2.05626  2.05520
  R8         R(3,5)  2.66312  2.68546  2.68080
  R9         R(5,6)  2.05095  2.05281  2.05254
 R10         R(5,7)  2.62512  2.62064  2.62461
 R11         R(7,8)  2.05276  2.05149  2.05107
 R12         R(7,9)  2.68042  2.69849  2.69081
 R13        R(9,10)  2.65496  2.68931  2.72879
 R14       R(10,18)  2.65494  2.68799  2.72890
 R15       R(10,21)  2.79397  2.78084  2.73252
 R16       R(11,12)  2.52845  2.52943  2.52338
 R17       R(11,18)  2.62511  2.65301  2.64371
 R18       R(12,13)  2.05581  2.05638  2.05524
 R19       R(12,14)  2.66285  2.68451  2.68073
 R20       R(14,15)  2.05096  2.05281  2.05259
 R21       R(14,16)  2.62522  2.62085  2.62464
 R22       R(16,17)  2.05261  2.05050  2.05123
 R23       R(16,18)  2.68036  2.69940  2.69089
 R24       R(21,22)  2.65133  2.65704  2.67482
 R25       R(21,29)  2.65123  2.65616  2.67494
 R26       R(22,23)  2.06134  2.06245  2.05672
 R27       R(22,24)  2.63197  2.63112  2.62455
 R28       R(24,25)  2.06018  2.06075  2.06064
 R29       R(24,26)  2.63704  2.63804  2.63992
 R30       R(26,27)  2.63703  2.63716  2.63981
 R31       R(26,31)  2.06064  2.06056  2.05996
 R32       R(27,28)  2.06017  2.06074  2.06069
 R33       R(27,29)  2.63190  2.63194  2.62451
 R34       R(29,30)  2.06119  2.06149  2.05685
  A1      A(2,1,11)  1.84645  1.83055  1.79061
  A2      A(2,1,19)  1.92446  1.93082  1.92938
  A3      A(2,1,20)  1.92540  1.93119  1.92992
  A4     A(11,1,19)  1.93082  1.93303  1.92952
  A5     A(11,1,20)  1.91756  1.92476  1.93025
  A6     A(19,1,20)  1.91815  1.91246  1.94836
  A7       A(1,2,3)  2.19626  2.19352  2.24773
  A8       A(1,2,9)  2.19816  2.19709  2.13384
  A9       A(3,2,9)  1.88865  1.89202  1.90076
 A10       A(2,3,4)  2.10510  2.10829  2.10756
 A11       A(2,3,5)  1.92300  1.91697  1.91208
 A12       A(4,3,5)  2.25505  2.25791  2.26354
 A13       A(3,5,6)  2.19486  2.18656  2.19073
 A14       A(3,5,7)  1.86103  1.86922  1.86839
 A15       A(6,5,7)  2.22720  2.22733  2.22405
 A16       A(5,7,8)  2.22595  2.23056  2.22133
 A17       A(5,7,9)  1.86894  1.86814  1.87021
 A18       A(8,7,9)  2.18809  2.18396  2.19107
 A19       A(2,9,7)  1.88311  1.87842  1.87290
 A20      A(2,9,10)  2.11354  2.12311  2.09080
 A21      A(7,9,10)  2.28448  2.27922  2.31449
 A22     A(9,10,18)  2.09056  2.05242  1.93957
 A23     A(9,10,21)  2.09349  2.10262  2.16908
 A24    A(18,10,21)  2.09909  2.12670  2.16790
 A25     A(1,11,12)  2.19196  2.18151  2.24804
 A26     A(1,11,18)  2.19698  2.19921  2.13353
 A27    A(12,11,18)  1.88838  1.89172  1.90074
 A28    A(11,12,13)  2.10514  2.10850  2.10761
 A29    A(11,12,14)  1.92326  1.91761  1.91210
 A30    A(13,12,14)  2.25473  2.25689  2.26347
 A31    A(12,14,15)  2.19526  2.18744  2.19075
 A32    A(12,14,16)  1.86102  1.86964  1.86837
 A33    A(15,14,16)  2.22688  2.22607  2.22405
 A34    A(14,16,17)  2.22489  2.22529  2.22154
 A35    A(14,16,18)  1.86901  1.86868  1.87014
 A36    A(17,16,18)  2.18924  2.18920  2.19094
 A37    A(10,18,11)  2.11216  2.11467  2.09137
 A38    A(10,18,16)  2.28787  2.29146  2.31393
 A39    A(11,18,16)  1.88303  1.87701  1.87298
 A40    A(10,21,22)  2.09745  2.09847  2.11693
 A41    A(10,21,29)  2.10101  2.11456  2.11611
 A42    A(22,21,29)  2.08472  2.07011  2.04878
 A43    A(21,22,23)  2.08742  2.08419  2.09339
 A44    A(21,22,24)  2.09679  2.10533  2.11343
 A45    A(23,22,24)  2.09865  2.09342  2.07593
 A46    A(22,24,25)  2.08826  2.08752  2.08271
 A47    A(22,24,26)  2.09719  2.09869  2.10468
 A48    A(25,24,26)  2.09773  2.09695  2.09574
 A49    A(24,26,27)  2.09353  2.08816  2.08018
 A50    A(24,26,31)  2.09486  2.09747  2.10141
 A51    A(27,26,31)  2.09479  2.09755  2.10137
 A52    A(26,27,28)  2.09777  2.09671  2.09586
 A53    A(26,27,29)  2.09733  2.09958  2.10464
 A54    A(28,27,29)  2.08808  2.08684  2.08263
 A55    A(21,29,27)  2.09671  2.10448  2.11349
 A56    A(21,29,30)  2.08780  2.08735  2.09302
 A57    A(27,29,30)  2.09829  2.09085  2.07622
  D1    D(11,1,2,3) -3.01183 -2.89501  2.47100
  D2    D(11,1,2,9)  0.11150  0.28644 -0.62139
  D3    D(19,1,2,3) -0.92355 -0.81004 -1.75447
  D4    D(19,1,2,9)  2.19979  2.37141  1.43633
  D5    D(20,1,2,3)  1.19836  1.31281  0.41218
  D6    D(20,1,2,9) -1.96149 -1.78892 -2.68020
  D7   D(2,1,11,12)  3.12877  2.99522 -2.47128
  D8   D(2,1,11,18) -0.14285 -0.32183  0.62011
  D9  D(19,1,11,12)  1.04467  0.91173  1.75429
 D10  D(19,1,11,18) -2.22696 -2.40532 -1.43750
 D11  D(20,1,11,12) -1.07623 -1.20829 -0.41271
 D12  D(20,1,11,18)  1.93533  1.75785  2.67869
 D13     D(1,2,3,4) -0.00740  0.04394  0.04524
 D14     D(1,2,3,5)  3.12582 -3.10309 -3.09330
 D15     D(9,2,3,4) -3.13344 -3.13169 -3.14034
 D16     D(9,2,3,5) -0.00021  0.00446  0.00431
 D17     D(1,2,9,7) -3.12051  3.10531  3.08106
 D18    D(1,2,9,10) -0.04083 -0.10374  0.03349
 D19     D(3,2,9,7)  0.00551 -0.00216 -0.01999
 D20    D(3,2,9,10)  3.08518  3.07197 -3.06756
 D21     D(2,3,5,6) -3.13352 -3.13425 -3.13328
 D22     D(2,3,5,7) -0.00524 -0.00509  0.01344
 D23     D(4,3,5,6) -0.00122  0.00130  0.01173
 D24     D(4,3,5,7)  3.12705  3.13046 -3.12474
 D25     D(3,5,7,8) -3.11187 -3.10413  3.08115
 D26     D(3,5,7,9)  0.00840  0.00358 -0.02522
 D27     D(6,5,7,8)  0.01607  0.02465 -0.05519
 D28     D(6,5,7,9)  3.13635  3.13236  3.12163
 D29     D(5,7,9,2) -0.00869 -0.00100  0.02798
 D30    D(5,7,9,10) -3.08014 -3.06695  3.05864
 D31     D(8,7,9,2)  3.11217  3.10786 -3.07916
 D32    D(8,7,9,10)  0.04072  0.04191 -0.04850
 D33   D(2,9,10,18) -0.02363 -0.10331  0.62985
 D34   D(2,9,10,21)  3.12852  3.09509 -2.63100
 D35   D(7,9,10,18)  3.03999  2.95358 -2.38965
 D36   D(7,9,10,21) -0.09104 -0.13120  0.63269
 D37  D(9,10,18,11) -0.00660  0.07009 -0.63118
 D38  D(9,10,18,16)  3.11621 -3.05975  2.38930
 D39 D(21,10,18,11)  3.12440 -3.12915  2.62957
