From fa scan:
Fixed   = D(9,10,21,22), S, 20, 1.0000
Opposit = D(18,10,21,29)

         S0          S1  D_fixed  D_average
-912.178484 -912.090251 -16.9422  -28.08070
-912.167615 -912.090831 -15.9421  -17.66795
-912.167247 -912.090912 -14.9422  -16.70215
-912.166910 -912.090994 -13.9423  -15.75550
-912.166631 -912.091077 -12.9424  -14.84085
-912.166389 -912.091160 -11.9423  -13.93075
-912.166178 -912.091242 -10.9423  -13.04890
-912.165981 -912.091322  -9.9423  -12.18810
-912.165856 -912.091400  -8.9423  -11.36395
-912.165722 -912.091474  -7.9423  -10.54650
-912.165586 -912.091545  -6.9423   -9.72255
-912.165454 -912.091612  -5.9423   -8.89565
-912.165346 -912.091675  -4.9423   -8.09125
-912.165254 -912.091733  -3.9423   -7.30275
-912.165170 -912.091787  -2.9423   -6.51700
-912.165092 -912.091835  -1.9423   -5.73110
-912.165025 -912.091879  -0.9423   -4.95100
-912.164969 -912.091916   0.0577   -4.18015
-912.164918 -912.091948   1.0577   -3.41385
-912.164867 -912.091973   2.0577   -2.65170
-912.164813 -912.091992   3.0577   -1.89395

From fb scan:
Fixed   = D(9,10,21,22), S, 55, -1.000
Opposit = D(18,10,21,29)

         S0          S1  D_fixed  D_average
-912.192062 -912.094836 -49.6941  -49.85710
-912.192004 -912.094866 -48.6941  -49.20165
-912.191930 -912.094886 -47.6941  -48.55000
-912.191835 -912.094895 -46.6941  -47.89985
-912.191721 -912.094894 -45.6941  -47.24965
-912.191596 -912.094883 -44.6941  -46.59515
-912.191451 -912.094861 -43.6941  -45.94925
-912.191294 -912.094829 -42.6941  -45.30645
-912.191124 -912.094786 -41.6941  -44.67020
-912.190937 -912.094731 -40.6941  -44.04105
-912.190731 -912.094665 -39.6941  -43.41890
-912.190504 -912.094587 -38.6941  -42.80325
-912.190252 -912.094497 -37.6941  -42.19085
-912.189975 -912.094396 -36.6941  -41.58060
-912.189673 -912.094283 -35.6941  -40.97195
-912.189350 -912.094159 -34.6941  -40.35480
-912.189000 -912.094023 -33.6941  -39.74960
-912.188635 -912.093876 -32.6941  -39.13710
-912.188249 -912.093718 -31.6941  -38.53065
-912.187857 -912.093548 -30.6941  -37.91690
-912.187440 -912.093367 -29.6941  -37.30975
-912.187006 -912.093175 -28.6941  -36.69800
-912.186551 -912.092971 -27.6941  -36.08255
-912.186069 -912.092756 -26.6941  -35.44870
-912.185563 -912.092531 -25.6941  -34.81385
-912.185019 -912.092296 -24.6941  -34.16600
-912.184436 -912.092051 -23.6941  -33.51410
-912.183788 -912.091798 -22.6941  -32.83995
-912.183086 -912.091538 -21.6943  -32.13770
-912.182353 -912.091272 -20.6943  -31.41915
-912.170489 -912.090576 -19.6942  -22.51200
-912.169046 -912.090628 -18.6942  -20.63915
-912.168427 -912.090697 -17.6942  -19.47160
-912.167939 -912.090772 -16.6941  -18.41575
-912.167508 -912.090851 -15.6941  -17.42055
-912.167145 -912.090932 -14.6941  -16.46625
-912.166857 -912.091015 -13.6941  -15.53205
-912.166583 -912.091098 -12.6941  -14.61840
-912.166301 -912.091180 -11.6941  -13.68590
-912.166116 -912.091262 -10.6941  -12.81985
-912.165961 -912.091342  -9.6940  -11.98485
-912.165822 -912.091419  -8.6940  -11.16495
-912.165689 -912.091492  -7.6940  -10.35035
-912.165540 -912.091561  -6.6941   -9.51410
-912.165410 -912.091628  -5.6940   -8.69365
-912.165303 -912.091690  -4.6940   -7.89420
-912.165213 -912.091747  -3.6940   -7.10450
-912.165134 -912.091799  -2.6940   -6.31680
-912.165063 -912.091846  -1.6940   -5.53215
-912.165002 -912.091888  -0.6940   -4.75295
-912.164951 -912.091924   0.3060   -3.98105
-912.164906 -912.091954   1.3060   -3.21580
-912.164858 -912.091978   2.3060   -2.47055
-912.164795 -912.091995   3.3059   -1.71395
-912.164754 -912.092005   4.3059   -0.93835
-912.164681 -912.092009   5.3059   -0.20105
