optS0 = -912.194140506
tdS0  = -912.086161983
optS1 = -912.095602112
optR1 = -912.092562424

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.5522        1.5435        1.5505
  R2        R(1,11)        1.5531        1.5453        1.5503
  R3        R(1,19)        1.3945        1.3946        1.3950
  R4        R(1,20)        1.3971        1.4006        1.3875
  R5         R(2,3)        1.3381        1.3388        1.3354
  R6         R(2,9)        1.3889        1.4017        1.3992
  R7         R(3,4)        1.0879        1.0881        1.0876
  R8         R(3,5)        1.4092        1.4211        1.4186
  R9         R(5,6)        1.0853        1.0863        1.0862
 R10         R(5,7)        1.3892        1.3867        1.3888
 R11         R(7,8)        1.0863        1.0856        1.0854
 R12         R(7,9)        1.4184        1.4282        1.4242
 R13        R(9,10)        1.4050        1.4230        1.4439
 R14       R(10,18)        1.4050        1.4223        1.4439
 R15       R(10,21)        1.4784        1.4717        1.4465
 R16       R(11,12)        1.3381        1.3387        1.3354
 R17       R(11,18)        1.3892        1.4038        1.3990
 R18       R(12,13)        1.0879        1.0882        1.0876
 R19       R(12,14)        1.4090        1.4206        1.4186
 R20       R(14,15)        1.0853        1.0863        1.0862
 R21       R(14,16)        1.3893        1.3868        1.3888
 R22       R(16,17)        1.0862        1.0851        1.0855
 R23       R(16,18)        1.4183        1.4287        1.4242
 R24       R(21,22)        1.4031        1.4060        1.4154
 R25       R(21,29)        1.4030        1.4055        1.4154
 R26       R(22,23)        1.0908        1.0914        1.0883
 R27       R(22,24)        1.3928        1.3924        1.3889
 R28       R(24,25)        1.0902        1.0905        1.0904
 R29       R(24,26)        1.3955        1.3960        1.3970
 R30       R(26,27)        1.3955        1.3955        1.3969
 R31       R(26,31)        1.0904        1.0904        1.0901
 R32       R(27,28)        1.0902        1.0905        1.0905
 R33       R(27,29)        1.3927        1.3928        1.3889
 R34       R(29,30)        1.0907        1.0909        1.0884
  A1      A(2,1,11)      105.8171      104.9199      102.6318
  A2      A(2,1,19)      110.2696      110.6313      110.5431
  A3      A(2,1,20)      110.3239      110.6487      110.5906
  A4     A(11,1,19)      110.6329      110.7603      110.5505
  A5     A(11,1,20)      109.8762      110.2830      110.6105
  A6     A(19,1,20)      109.8558      109.5307      111.5790
  A7       A(1,2,3)      125.8441      125.6800      128.7777
  A8       A(1,2,9)      125.9396      125.8881      122.2682
  A9       A(3,2,9)      108.2093      108.4010      108.9089
 A10       A(2,3,4)      120.6235      120.8089      120.7658
 A11       A(2,3,5)      110.1795      109.8375      109.5552
 A12       A(4,3,5)      129.1949      129.3527      129.6788
 A13       A(3,5,6)      125.7558      125.2751      125.5158
 A14       A(3,5,7)      106.6308      107.0977      107.0512
 A15       A(6,5,7)      127.6084      127.6229      127.4321
 A16       A(5,7,8)      127.5311      127.8002      127.2557
 A17       A(5,7,9)      107.0853      107.0391      107.1628
 A18       A(8,7,9)      125.3717      125.1310      125.5472
 A19       A(2,9,7)      107.8926      107.6240      107.2973
 A20      A(2,9,10)      121.0985      121.6457      119.8017
 A21      A(7,9,10)      130.8913      130.5937      132.6188
 A22     A(9,10,18)      119.7719      117.6059      111.1836
 A23     A(9,10,21)      119.9534      120.4773      124.2562
 A24    A(18,10,21)      120.2720      121.8355      124.1846
 A25     A(1,11,12)      125.5997      125.0044      128.7969
 A26     A(1,11,18)      125.8725      126.0064      122.2486
 A27    A(12,11,18)      108.1937      108.3837      108.9072
 A28    A(11,12,13)      120.6261      120.8217      120.7686
 A29    A(11,12,14)      110.1940      109.8743      109.5562
 A30    A(13,12,14)      129.1764      129.2941      129.6748
 A31    A(12,14,15)      125.7790      125.3258      125.5168
 A32    A(12,14,16)      106.6298      107.1212      107.0502
 A33    A(15,14,16)      127.5900      127.5513      127.4321
 A34    A(14,16,17)      127.4704      127.5019      127.2682
 A35    A(14,16,18)      107.0895      107.0698      107.1587
 A36    A(17,16,18)      125.4378      125.4273      125.5394
 A37    A(10,18,11)      121.0202      121.1714      119.8360
 A38    A(10,18,16)      131.0841      131.2817      132.5841
 A39    A(11,18,16)      107.8886      107.5444      107.3020
 A40    A(10,21,22)      120.1750      120.2372      121.2971
 A41    A(10,21,29)      120.3765      121.1454      121.2464
 A42    A(22,21,29)      119.4482      118.6148      117.3766
 A43    A(21,22,23)      119.6085      119.4232      119.9591
 A44    A(21,22,24)      120.1355      120.6242      121.0974
 A45    A(23,22,24)      120.2374      119.9389      118.9186
 A46    A(22,24,25)      119.6481      119.6068      119.3256
 A47    A(22,24,26)      120.1597      120.2445      120.5908
 A48    A(25,24,26)      120.1921      120.1473      120.0806
 A49    A(24,26,27)      119.9524      119.6450      119.1782
 A50    A(24,26,31)      120.0258      120.1751      120.4059
 A51    A(27,26,31)      120.0218      120.1798      120.4031
 A52    A(26,27,28)      120.1950      120.1346      120.0880
 A53    A(26,27,29)      120.1679      120.2951      120.5877
 A54    A(28,27,29)      119.6369      119.5677      119.3211
 A55    A(21,29,27)      120.1306      120.5754      121.1013
 A56    A(21,29,30)      119.6293      119.6017      119.9362
 A57    A(27,29,30)      120.2173      119.7947      118.9361
  D1    D(11,1,2,3)     -172.5973     -166.0316      141.7179
  D2    D(11,1,2,9)        6.3227       16.2308      -35.5547
  D3    D(19,1,2,3)      -52.9245      -46.5408     -100.3676
  D4    D(19,1,2,9)      125.9955      135.7216       82.3599
  D5    D(20,1,2,3)       68.6026       75.0350       23.7124
  D6    D(20,1,2,9)     -112.4775     -102.7026     -153.5602
  D7   D(2,1,11,12)      179.3065      171.7359     -141.7317
  D8   D(2,1,11,18)       -8.1247      -18.2361       35.4807
  D9  D(19,1,11,12)       59.8726       52.3315      100.3589
 D10  D(19,1,11,18)     -127.5585     -137.6405      -82.4287
 D11  D(20,1,11,12)      -61.5972      -69.0851      -23.7402
 D12  D(20,1,11,18)      110.9717      100.9429      153.4721
 D13     D(1,2,3,4)       -0.4533        2.4966        2.5168
 D14     D(1,2,3,5)      179.0669     -177.8171     -177.3080
 D15     D(9,2,3,4)     -179.5328     -179.4350     -179.9208
 D16     D(9,2,3,5)       -0.0126        0.2513        0.2544
 D17     D(1,2,9,7)     -178.7614      177.9422      176.6082
 D18    D(1,2,9,10)       -2.2965       -5.8839        1.9638
 D19     D(3,2,9,7)        0.3169       -0.1212       -1.1445
 D20    D(3,2,9,10)      176.7818      176.0527     -175.7889
 D21     D(2,3,5,6)     -179.5412     -179.5764     -179.5572
 D22     D(2,3,5,7)       -0.3011       -0.2871        0.7572
 D23     D(4,3,5,6)       -0.0740        0.0751        0.6385
 D24     D(4,3,5,7)      179.1662      179.3645     -179.0471
 D25     D(3,5,7,8)     -178.3043     -177.8781      176.5175
 D26     D(3,5,7,9)        0.4826        0.2023       -1.4321
 D27     D(6,5,7,8)        0.9174        1.3894       -3.1602
 D28     D(6,5,7,9)      179.7043      179.4698      178.8901
 D29     D(5,7,9,2)       -0.4997       -0.0569        1.5946
 D30    D(5,7,9,10)     -176.4947     -175.7665      175.2756
 D31     D(8,7,9,2)      178.3205      178.0885     -176.3997
 D32    D(8,7,9,10)        2.3255        2.3789       -2.7187
 D33   D(2,9,10,18)       -1.3524       -5.8381       35.9514
 D34   D(2,9,10,21)      179.2467      177.3801     -150.8421
 D35   D(7,9,10,18)      174.1958      169.3575     -137.0929
 D36   D(7,9,10,21)       -5.2052       -7.4243       36.1136
 D37  D(9,10,18,11)       -0.3853        3.9543      -36.0289
 D38  D(9,10,18,16)      178.5214     -175.3999      137.0702
 D39 D(21,10,18,11)      179.0137     -179.3104      150.7589
 D40 D(21,10,18,16)       -2.0796        1.3353      -36.1421
 D41  D(9,10,21,22)      -52.4366      -49.0029        5.2863
 D42  D(9,10,21,29)      127.3559      130.3958     -178.0518
 D43 D(18,10,21,22)      128.1655      134.3541      177.6240
 D44 D(18,10,21,29)      -52.0420      -46.2472       -5.7141
 D45  D(1,11,12,13)       -5.7469       -7.8132       -2.5975
 D46  D(1,11,12,14)      173.6369      171.1402      177.2172
 D47 D(18,11,12,13)     -179.4132     -179.3243      179.8943
 D48 D(18,11,12,14)       -0.0294       -0.3709       -0.2910
 D49  D(1,11,18,10)        5.9165        9.8451       -1.8304
 D50  D(1,11,18,16)     -173.2175     -170.6639     -176.5138
 D51 D(12,11,18,10)      179.5611     -178.7512      175.8734
 D52 D(12,11,18,16)        0.4270        0.7398        1.1900
 D53 D(11,12,14,15)     -179.9974     -179.7116      179.5732
 D54 D(11,12,14,16)       -0.3853       -0.1530       -0.7443
 D55 D(13,12,14,15)       -0.6814       -0.8729       -0.6337
 D56 D(13,12,14,16)      178.9307      178.6856      179.0489
 D57 D(12,14,16,17)     -178.8303     -179.0495     -176.5221
 D58 D(12,14,16,18)        0.6308        0.6002        1.4473
 D59 D(15,14,16,17)        0.7725        0.4962        3.1524
 D60 D(15,14,16,18)     -179.7664     -179.8541     -178.8782
 D61 D(14,16,18,10)     -179.6763      178.5944     -175.3641
 D62 D(14,16,18,11)       -0.6608       -0.8261       -1.6314
 D63 D(17,16,18,10)       -0.2013       -1.7467        2.6500
 D64 D(17,16,18,11)      178.8142      178.8328      176.3827
 D65 D(10,21,22,23)       -1.3451       -1.5726        1.2174
 D66 D(10,21,22,24)     -179.7792      179.7741      179.3833
 D67 D(29,21,22,23)      178.8604      179.0137     -175.5689
 D68 D(29,21,22,24)        0.4264        0.3604        2.5969
 D69 D(10,21,29,27)     -179.5148     -179.6827     -179.3819
 D70 D(10,21,29,30)       -1.2455       -1.6175       -1.2704
 D71 D(22,21,29,27)        0.2792       -0.2745       -2.5938
 D72 D(22,21,29,30)      178.5485      177.7907      175.5176
 D73 D(21,22,24,25)      179.1541      179.3956     -179.9907
 D74 D(21,22,24,26)       -0.7266       -0.1787       -0.6231
 D75 D(23,22,24,25)        0.7301        0.7493       -1.8062
 D76 D(23,22,24,26)     -179.1507     -178.8251      177.5614
 D77 D(22,24,26,27)        0.3196       -0.0952       -1.4378
 D78 D(22,24,26,31)     -179.6353     -179.9714      179.8557
 D79 D(25,24,26,27)     -179.5605     -179.6672      177.9250
 D80 D(25,24,26,31)        0.4846        0.4565       -0.7815
 D81 D(24,26,27,28)     -179.4327     -179.2228     -177.9062
 D82 D(24,26,27,29)        0.3883        0.1809        1.4410
 D83 D(31,26,27,28)        0.5222        0.6534        0.8004
 D84 D(31,26,27,29)     -179.6569     -179.9429     -179.8525
 D85 D(26,27,29,21)       -0.6867        0.0066        0.6167
 D86 D(26,27,29,30)     -178.9458     -178.0548     -177.5133
 D87 D(28,27,29,21)      179.1352      179.4137      179.9688
 D88 D(28,27,29,30)        0.8762        1.3522        1.8388
