optS0 = -912.194140506
tdS0 = -912.086161983
optS1 = -912.095602112
optR1 = -912.092562424

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.93327  2.91675  2.93007
  R2        R(1,11)  2.93485  2.92026  2.92955
  R3        R(1,19)  2.63524  2.63547  2.63617
  R4        R(1,20)  2.64017  2.64681  2.62207
  R5         R(2,3)  2.52862  2.52989  2.52350
  R6         R(2,9)  2.62457  2.64880  2.64402
  R7         R(3,4)  2.05577  2.05630  2.05523
  R8         R(3,5)  2.66295  2.68541  2.68085
  R9         R(5,6)  2.05095  2.05282  2.05254
 R10         R(5,7)  2.62524  2.62045  2.62438
 R11         R(7,8)  2.05276  2.05150  2.05104
 R12         R(7,9)  2.68033  2.69894  2.69132
 R13        R(9,10)  2.65506  2.68908  2.72850
 R14       R(10,18)  2.65505  2.68781  2.72860
 R15       R(10,21)  2.79386  2.78118  2.73350
 R16       R(11,12)  2.52870  2.52983  2.52362
 R17       R(11,18)  2.62523  2.65272  2.64373
 R18       R(12,13)  2.05583  2.05641  2.05527
 R19       R(12,14)  2.66268  2.68448  2.68077
 R20       R(14,15)  2.05097  2.05281  2.05259
 R21       R(14,16)  2.62534  2.62065  2.62441
 R22       R(16,17)  2.05261  2.05052  2.05120
 R23       R(16,18)  2.68027  2.69982  2.69141
 R24       R(21,22)  2.65140  2.65695  2.67465
 R25       R(21,29)  2.65130  2.65609  2.67477
 R26       R(22,23)  2.06133  2.06246  2.05665
 R27       R(22,24)  2.63197  2.63121  2.62471
 R28       R(24,25)  2.06017  2.06075  2.06064
 R29       R(24,26)  2.63708  2.63805  2.63986
 R30       R(26,27)  2.63707  2.63719  2.63975
 R31       R(26,31)  2.06064  2.06056  2.05996
 R32       R(27,28)  2.06016  2.06074  2.06069
 R33       R(27,29)  2.63190  2.63201  2.62467
 R34       R(29,30)  2.06119  2.06152  2.05679
  A1      A(2,1,11)  1.84686  1.83120  1.79126
  A2      A(2,1,19)  1.92457  1.93088  1.92934
  A3      A(2,1,20)  1.92551  1.93118  1.93017
  A4     A(11,1,19)  1.93091  1.93313  1.92947
  A5     A(11,1,20)  1.91770  1.92480  1.93052
  A6     A(19,1,20)  1.91735  1.91167  1.94742
  A7       A(1,2,3)  2.19640  2.19353  2.24759
  A8       A(1,2,9)  2.19806  2.19716  2.13398
  A9       A(3,2,9)  1.88861  1.89195  1.90082
 A10       A(2,3,4)  2.10528  2.10851  2.10776
 A11       A(2,3,5)  1.92299  1.91703  1.91210
 A12       A(4,3,5)  2.25488  2.25763  2.26332
 A13       A(3,5,6)  2.19485  2.18646  2.19066
