From fa scan:
Fixed   = D(9,10,21,22), S, 55, 1.0000
Opposit = D(18,10,21,29)

         S0          S1  D_fixed  D_average
-912.192073 -912.095602 -49.0029  -47.62510
-912.192030 -912.095597 -48.0029  -46.96540
-912.191973 -912.095581 -47.0029  -46.31285
-912.191902 -912.095555 -46.0029  -45.65595
-912.191819 -912.095517 -45.0029  -45.01375
-912.191721 -912.095468 -44.0029  -44.39770
-912.191606 -912.095407 -43.0029  -43.76530
-912.191476 -912.095334 -42.0029  -43.17855
-912.191328 -912.095248 -41.0029  -42.58305
-912.191162 -912.095149 -40.0029  -41.99005
-912.190979 -912.095038 -39.0029  -41.39970
-912.190778 -912.094913 -38.0029  -40.81250
-912.190558 -912.094775 -37.0029  -40.22705
-912.190320 -912.094623 -36.0029  -39.64320
-912.190065 -912.094459 -35.0029  -39.06255
-912.189791 -912.094280 -34.0029  -38.48790
-912.189499 -912.094088 -33.0029  -37.91660
-912.189187 -912.093881 -32.0029  -37.34860
-912.188859 -912.093660 -31.0029  -36.78450
-912.188513 -912.093425 -30.0029  -36.22540
-912.188148 -912.093175 -29.0029  -35.66615
-912.187765 -912.092910 -28.0029  -35.10625
-912.187364 -912.092631 -27.0029  -34.54875
-912.186947 -912.092337 -26.0029  -33.99640
-912.185577 -912.093041 -25.0030  -34.39645
-912.185020 -912.092798 -24.0030  -33.75160
-912.184405 -912.092545 -23.0029  -33.08945
-912.183719 -912.092285 -22.0029  -32.39565
-912.183003 -912.092019 -21.0030  -31.68230
-912.182265 -912.091747 -20.0029  -30.96790
-912.181455 -912.091469 -19.0030  -30.21730
-912.180473 -912.091190 -18.0030  -29.36810
-912.179137 -912.090917 -17.0030  -28.27330
-912.168231 -912.091406 -16.0028  -17.83790
-912.167842 -912.091483 -15.0029  -16.85850
-912.167509 -912.091562 -14.0029  -15.91180
-912.167206 -912.091642 -13.0030  -14.98010
-912.166947 -912.091723 -12.0030  -14.04545
-912.166719 -912.091803 -11.0030  -13.14725
-912.166543 -912.091882 -10.0030  -12.27730
-912.166401 -912.091958  -9.0030  -11.45045
-912.166265 -912.092031  -8.0030  -10.63100
-912.166131 -912.092101  -7.0030   -9.80675
-912.165999 -912.092167  -6.0030   -8.97920
-912.165887 -912.092229  -5.0030   -8.17055
-912.165792 -912.092287  -4.0030   -7.37695
-912.165706 -912.092340  -3.0030   -6.58670
-912.165627 -912.092389  -2.0030   -5.79745
-912.165559 -912.092431  -1.0030   -5.01475
-912.165502 -912.092469  -0.0029   -4.23990
-912.165450 -912.092500   0.9971   -3.46990
-912.165399 -912.092525   1.9971   -2.70275
-912.165346 -912.092544   2.9971   -1.93880
-912.165286 -912.092557   3.9971   -1.17960
-912.165225 -912.092562   4.9971   -0.42820
-912.165159 -912.092561   5.9971    0.32320

From fb scan:
Fixed   = D(9,10,21,22), S, 35, -1.000
Opposit = D(18,10,21,29)

         S0          S1  D_fixed  D_average
-912.192469 -912.095257 -54.7137  -53.33000
-912.192469 -912.095329 -53.7137  -52.65630
-912.192473 -912.095394 -52.7137  -51.94670
-912.192464 -912.095451 -51.7137  -51.24840
-912.192440 -912.095499 -50.7137  -50.55465
-912.192403 -912.095538 -49.7137  -49.88110
-912.192350 -912.095567 -48.7137  -49.22170
-912.192275 -912.095585 -47.7137  -48.56930
-912.192183 -912.095594 -46.7137  -47.92130
-912.192072 -912.095592 -45.7137  -47.27125
-912.191949 -912.095580 -44.7137  -46.61800
-912.191806 -912.095558 -43.7137  -45.97220
-912.191650 -912.095525 -42.7137  -45.33120
-912.191480 -912.095481 -41.7137  -44.69675
-912.191294 -912.095425 -40.7137  -44.06935
-912.191089 -912.095358 -39.7137  -43.44820
-912.190863 -912.095279 -38.7137  -42.83330
-912.190613 -912.095188 -37.7137  -42.22185
-912.190338 -912.095086 -36.7137  -41.61200
-912.190044 -912.094972 -35.7137  -41.00820
-912.189717 -912.094847 -34.7137  -40.38725
-912.189371 -912.094710 -33.7137  -39.77825
-912.189011 -912.094562 -32.7137  -39.16990
-912.188629 -912.094403 -31.7137  -38.55660
-912.188234 -912.094232 -30.7137  -37.94930
-912.187818 -912.094050 -29.7137  -37.34230
-912.187387 -912.093856 -28.7137  -36.73170
-912.186937 -912.093652 -27.7137  -36.11515
-912.186456 -912.093436 -26.7137  -35.48380
-912.185960 -912.093209 -25.7137  -34.85325
-912.185422 -912.092972 -24.7137  -34.20950
-912.184852 -912.092726 -23.7137  -33.56650
-912.184215 -912.092471 -22.7137  -32.89615
-912.183519 -912.092209 -21.7139  -32.19245
-912.182790 -912.091941 -20.7138  -31.48415
-912.171445 -912.091179 -19.7137  -22.98275
