optS0 = -912.194221551
tdS0 = -912.086104297
optS1 = -912.095778559
optR1 = -912.092702665

Name     Definition     optS0     optS1     optR1
  R1         R(1,2)    1.5521    1.5434    1.5504
  R2        R(1,11)    1.5530    1.5453    1.5502
  R3        R(1,19)    1.3946    1.3947    1.3951
  R4        R(1,20)    1.3972    1.4007    1.3876
  R5         R(2,3)    1.3381    1.3388    1.3354
  R6         R(2,9)    1.3889    1.4017    1.3992
  R7         R(3,4)    1.0879    1.0882    1.0876
  R8         R(3,5)    1.4092    1.4210    1.4187
  R9         R(5,6)    1.0853    1.0863    1.0862
 R10         R(5,7)    1.3892    1.3867    1.3887
 R11         R(7,8)    1.0863    1.0856    1.0854
 R12         R(7,9)    1.4184    1.4283    1.4243
 R13        R(9,10)    1.4050    1.4230    1.4438
 R14       R(10,18)    1.4050    1.4223    1.4439
 R15       R(10,21)    1.4784    1.4718    1.4466
 R16       R(11,12)    1.3382    1.3388    1.3355
 R17       R(11,18)    1.3892    1.4037    1.3990
 R18       R(12,13)    1.0879    1.0882    1.0876
 R19       R(12,14)    1.4090    1.4206    1.4186
 R20       R(14,15)    1.0853    1.0863    1.0862
 R21       R(14,16)    1.3893    1.3868    1.3887
 R22       R(16,17)    1.0862    1.0851    1.0854
 R23       R(16,18)    1.4183    1.4287    1.4243
 R24       R(21,22)    1.4031    1.4060    1.4153
 R25       R(21,29)    1.4030    1.4055    1.4154
 R26       R(22,23)    1.0908    1.0914    1.0883
 R27       R(22,24)    1.3928    1.3924    1.3890
 R28       R(24,25)    1.0902    1.0905    1.0904
 R29       R(24,26)    1.3955    1.3960    1.3969
 R30       R(26,27)    1.3955    1.3955    1.3969
 R31       R(26,31)    1.0904    1.0904    1.0901
 R32       R(27,28)    1.0902    1.0905    1.0905
 R33       R(27,29)    1.3927    1.3928    1.3889
 R34       R(29,30)    1.0907    1.0909    1.0884
  A1      A(2,1,11)  105.8229  104.9293  102.6412
