optS0 = -912.194221551
tdS0 = -912.086104297
optS1 = -912.095778559
optR1 = -912.092702665

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.93313  2.91668  2.92991
  R2        R(1,11)  2.93471  2.92017  2.92940
  R3        R(1,19)  2.63538  2.63558  2.63637
  R4        R(1,20)  2.64032  2.64696  2.62215
  R5         R(2,3)  2.52869  2.52999  2.52356
  R6         R(2,9)  2.62460  2.64874  2.64403
  R7         R(3,4)  2.05577  2.05631  2.05524
  R8         R(3,5)  2.66291  2.68539  2.68086
  R9         R(5,6)  2.05095  2.05282  2.05255
 R10         R(5,7)  2.62527  2.62040  2.62432
 R11         R(7,8)  2.05276  2.05150  2.05103
 R12         R(7,9)  2.68031  2.69905  2.69145
 R13        R(9,10)  2.65509  2.68902  2.72843
 R14       R(10,18)  2.65508  2.68776  2.72853
 R15       R(10,21)  2.79383  2.78127  2.73375
 R16       R(11,12)  2.52877  2.52993  2.52368
 R17       R(11,18)  2.62526  2.65264  2.64374
 R18       R(12,13)  2.05583  2.05642  2.05527
 R19       R(12,14)  2.66264  2.68447  2.68079
 R20       R(14,15)  2.05097  2.05281  2.05259
 R21       R(14,16)  2.62537  2.62060  2.62435
 R22       R(16,17)  2.05261  2.05053  2.05120
 R23       R(16,18)  2.68024  2.69993  2.69154
 R24       R(21,22)  2.65141  2.65693  2.67460
 R25       R(21,29)  2.65131  2.65608  2.67473
 R26       R(22,23)  2.06133  2.06246  2.05663
 R27       R(22,24)  2.63197  2.63123  2.62475
 R28       R(24,25)  2.06017  2.06075  2.06064
 R29       R(24,26)  2.63709  2.63805  2.63984
 R30       R(26,27)  2.63708  2.63719  2.63973
 R31       R(26,31)  2.06063  2.06056  2.05996
 R32       R(27,28)  2.06016  2.06074  2.06069
 R33       R(27,29)  2.63191  2.63203  2.62471
 R34       R(29,30)  2.06118  2.06152  2.05677
  A1      A(2,1,11)  1.84696  1.83136  1.79143
  A2      A(2,1,19)  1.92460  1.93090  1.92933
  A3      A(2,1,20)  1.92554  1.93118  1.93023
  A4     A(11,1,19)  1.93093  1.93316  1.92946
  A5     A(11,1,20)  1.91774  1.92481  1.93058
  A6     A(19,1,20)  1.91714  1.91147  1.94718
  A7       A(1,2,3)  2.19643  2.19353  2.24756
  A8       A(1,2,9)  2.19803  2.19718  2.13402
  A9       A(3,2,9)  1.88860  1.89194  1.90083
 A10       A(2,3,4)  2.10532  2.10857  2.10781
 A11       A(2,3,5)  1.92299  1.91704  1.91210
 A12       A(4,3,5)  2.25483  2.25756  2.26327
 A13       A(3,5,6)  2.19485  2.18644  2.19065
 A14       A(3,5,7)  1.86107  1.86920  1.86840
 A15       A(6,5,7)  2.22718  2.22747  2.22412
 A16       A(5,7,8)  2.22581  2.23053  2.22095
 A17       A(5,7,9)  1.86900  1.86820  1.87038
 A18       A(8,7,9)  2.18816  2.18395  2.19125
 A19       A(2,9,7)  1.88307  1.87839  1.87264
 A20      A(2,9,10)  2.11358  2.12312  2.09097
 A21      A(7,9,10)  2.28448  2.27931  2.31467
 A22     A(9,10,18)  2.09038  2.05266  1.94076
 A23     A(9,10,21)  2.09360  2.10275  2.16858
 A24    A(18,10,21)  2.09916  2.12636  2.16731
 A25     A(1,11,12)  2.19217  2.18180  2.24790
 A26     A(1,11,18)  2.19686  2.19923  2.13367
 A27    A(12,11,18)  1.88833  1.89164  1.90080
 A28    A(11,12,13)  2.10537  2.10880  2.10786
 A29    A(11,12,14)  1.92325  1.91768  1.91212
 A30    A(13,12,14)  2.25451  2.25654  2.26320
 A31    A(12,14,15)  2.19526  2.18732  2.19066
 A32    A(12,14,16)  1.86105  1.86961  1.86838
 A33    A(15,14,16)  2.22686  2.22622  2.22413
 A34    A(14,16,17)  2.22475  2.22534  2.22118
 A35    A(14,16,18)  1.86908  1.86873  1.87031
 A36    A(17,16,18)  2.18932  2.18910  2.19111
 A37    A(10,18,11)  2.11221  2.11488  2.09157
 A38    A(10,18,16)  2.28785  2.29126  2.31405
 A39    A(11,18,16)  1.88301  1.87700  1.87272
 A40    A(10,21,22)  2.09745  2.09855  2.11706
 A41    A(10,21,29)  2.10096  2.11434  2.11616
 A42    A(22,21,29)  2.08478  2.07025  2.04857
 A43    A(21,22,23)  2.08760  2.08436  2.09376
 A44    A(21,22,24)  2.09675  2.10528  2.11358
 A45    A(23,22,24)  2.09851  2.09331  2.07542
 A46    A(22,24,25)  2.08825  2.08754  2.08260
 A47    A(22,24,26)  2.09718  2.09866  2.10471
 A48    A(25,24,26)  2.09775  2.09697  2.09582
 A49    A(24,26,27)  2.09357  2.08821  2.08002
 A50    A(24,26,31)  2.09484  2.09745  2.10150
 A51    A(27,26,31)  2.09477  2.09753  2.10145
 A52    A(26,27,28)  2.09780  2.09675  2.09595
 A53    A(26,27,29)  2.09732  2.09954  2.10466
 A54    A(28,27,29)  2.08805  2.08685  2.08253
 A55    A(21,29,27)  2.09667  2.10443  2.11365
 A56    A(21,29,30)  2.08796  2.08747  2.09335
 A57    A(27,29,30)  2.09816  2.09080  2.07573
  D1    D(11,1,2,3) -3.01250 -2.89848  2.47403
  D2    D(11,1,2,9)  0.11011  0.28251 -0.62032
  D3    D(19,1,2,3) -0.92371 -0.81284 -1.75109
  D4    D(19,1,2,9)  2.19890  2.36815  1.43774
  D5    D(20,1,2,3)  1.19712  1.30882  0.41425
  D6    D(20,1,2,9) -1.96346 -1.79338 -2.68011
  D7   D(2,1,11,12)  3.12963  2.99788 -2.47431
  D8   D(2,1,11,18) -0.14159 -0.31741  0.61905
  D9  D(19,1,11,12)  1.04502  0.91375  1.75090
 D10  D(19,1,11,18) -2.22621 -2.40154 -1.43892
