From fa scan:
Fixed   = D(9,10,21,22), S, 55, 1.0000
Opposit = D(18,10,21,29)

         S0          S1  D_fixed  D_average
-912.192162 -912.095779 -49.0184  -47.64475
-912.192119 -912.095773 -48.0185  -46.98485
-912.192062 -912.095758 -47.0185  -46.33210
-912.191992 -912.095731 -46.0185  -45.67525
-912.191909 -912.095694 -45.0185  -45.03280
-912.191811 -912.095645 -44.0185  -44.41630
-912.191696 -912.095584 -43.0185  -43.78395
-912.191566 -912.095511 -42.0185  -43.19690
-912.191419 -912.095425 -41.0185  -42.60120
-912.191253 -912.095326 -40.0185  -42.00810
-912.191070 -912.095214 -39.0185  -41.41770
-912.190870 -912.095090 -38.0185  -40.83055
-912.190650 -912.094952 -37.0185  -40.24505
-912.190413 -912.094800 -36.0185  -39.66110
-912.190157 -912.094636 -35.0185  -39.08045
-912.189884 -912.094457 -34.0185  -38.50595
-912.189592 -912.094265 -33.0185  -37.93455
-912.189281 -912.094058 -32.0185  -37.36640
-912.188953 -912.093838 -31.0185  -36.80230
-912.188608 -912.093602 -30.0185  -36.24345
-912.188243 -912.093352 -29.0185  -35.68425
-912.187860 -912.093088 -28.0185  -35.12435
-912.187460 -912.092808 -27.0185  -34.56725
-912.187044 -912.092514 -26.0185  -34.01555
-912.185682 -912.093215 -25.0186  -34.41380
-912.185131 -912.092972 -24.0185  -33.76580
-912.184532 -912.092719 -23.0185  -33.11495
-912.183834 -912.092458 -22.0186  -32.41330
-912.183118 -912.092191 -21.0185  -31.70445
-912.182383 -912.091919 -20.0186  -30.98255
-912.181581 -912.091641 -19.0186  -30.24325
-912.180615 -912.091361 -18.0186  -29.40115
-912.179301 -912.091086 -17.0186  -28.32470
-912.168380 -912.091552 -16.0185  -17.85110
-912.167986 -912.091629 -15.0185  -16.89540
-912.167662 -912.091707 -14.0185  -15.94695
-912.167361 -912.091786 -13.0186  -15.00365
-912.167098 -912.091866 -12.0185  -14.07905
-912.166862 -912.091946 -11.0186  -13.17865
-912.166688 -912.092024 -10.0186  -12.31025
-912.166542 -912.092100  -9.0186  -11.48065
-912.166407 -912.092173  -8.0186  -10.66240
-912.166271 -912.092242  -7.0186   -9.83495
-912.166136 -912.092307  -6.0186   -9.00150
-912.166021 -912.092369  -5.0185   -8.18845
-912.165926 -912.092427  -4.0185   -7.39365
-912.165841 -912.092480  -3.0185   -6.60310
-912.165764 -912.092528  -2.0185   -5.81325
-912.165695 -912.092571  -1.0185   -5.02990
-912.165638 -912.092608  -0.0185   -4.25500
-912.165585 -912.092640   0.9815   -3.48485
-912.165535 -912.092665   1.9815   -2.71790
-912.165482 -912.092684   2.9815   -1.95525
-912.165423 -912.092696   3.9815   -1.19500
-912.165362 -912.092702   4.9815   -0.43960
-912.165298 -912.092700   5.9815    0.31545

From fb scan:
Fixed   = D(9,10,21,22), S, 55, -1.000
Opposit = D(18,10,21,29)

         S0          S1  D_fixed  D_average
-912.192489 -912.095715 -49.7199  -49.88835
-912.192435 -912.095743 -48.7199  -49.22640
-912.192363 -912.095762 -47.7199  -48.57905
-912.192273 -912.095770 -46.7199  -47.92955
-912.192162 -912.095768 -45.7199  -47.27870
-912.192036 -912.095756 -44.7199  -46.62490
-912.191893 -912.095733 -43.7199  -45.98225
-912.191736 -912.095700 -42.7199  -45.34105
-912.191567 -912.095655 -41.7199  -44.70520
-912.191381 -912.095600 -40.7199  -44.07670
-912.191176 -912.095532 -39.7199  -43.45470
-912.190953 -912.095453 -38.7199  -42.83965
-912.190706 -912.095363 -37.7199  -42.22850
-912.190433 -912.095260 -36.7199  -41.61950
-912.190138 -912.095146 -35.7199  -41.01305
