optS0 = -912.194084814
tdS0 = -912.085019841
optS1 = -912.095480965
optR1 = -912.092466161

Name     Definition     optS0     optS1     optR1
  R1         R(1,2)    1.5523    1.5435    1.5506
  R2        R(1,11)    1.5531    1.5454    1.5503
  R3        R(1,19)    1.3945    1.3946    1.3949
  R4        R(1,20)    1.3971    1.4006    1.3875
  R5         R(2,3)    1.3381    1.3387    1.3354
  R6         R(2,9)    1.3889    1.4017    1.3992
  R7         R(3,4)    1.0879    1.0881    1.0876
  R8         R(3,5)    1.4092    1.4211    1.4186
  R9         R(5,6)    1.0853    1.0863    1.0862
 R10         R(5,7)    1.3892    1.3867    1.3888
 R11         R(7,8)    1.0863    1.0856    1.0854
 R12         R(7,9)    1.4184    1.4282    1.4241
 R13        R(9,10)    1.4050    1.4230    1.4439
 R14       R(10,18)    1.4050    1.4223    1.4439
 R15       R(10,21)    1.4785    1.4717    1.4464
 R16       R(11,12)    1.3381    1.3387    1.3354
 R17       R(11,18)    1.3892    1.4038    1.3990
 R18       R(12,13)    1.0879    1.0882    1.0876
 R19       R(12,14)    1.4090    1.4206    1.4186
 R20       R(14,15)    1.0853    1.0863    1.0862
 R21       R(14,16)    1.3893    1.3868    1.3888
 R22       R(16,17)    1.0862    1.0851    1.0855
 R23       R(16,18)    1.4183    1.4286    1.4242
 R24       R(21,22)    1.4031    1.4060    1.4154
 R25       R(21,29)    1.4030    1.4055    1.4154
 R26       R(22,23)    1.0908    1.0914    1.0883
 R27       R(22,24)    1.3928    1.3924    1.3889
 R28       R(24,25)    1.0902    1.0905    1.0904
 R29       R(24,26)    1.3955    1.3960    1.3970
 R30       R(26,27)    1.3955    1.3955    1.3969
 R31       R(26,31)    1.0904    1.0904    1.0901
 R32       R(27,28)    1.0902    1.0905    1.0905
 R33       R(27,29)    1.3927    1.3928    1.3889
 R34       R(29,30)    1.0907    1.0909    1.0884
  A1      A(2,1,11)  105.8131  104.9135  102.6253
  A2      A(2,1,19)  110.2686  110.6305  110.5436
  A3      A(2,1,20)  110.3227  110.6488  110.5881
  A4     A(11,1,19)  110.6320  110.7592  110.5510
  A5     A(11,1,20)  109.8748  110.2826  110.6077
  A6     A(19,1,20)  109.8638  109.5387  111.5885
  A7       A(1,2,3)  125.8427  125.6798  128.7791
  A8       A(1,2,9)  125.9406  125.8874  122.2668
  A9       A(3,2,9)  108.2097  108.4017  108.9084
 A10       A(2,3,4)  120.6217  120.8068  120.7639
 A11       A(2,3,5)  110.1796  109.8368  109.5550
 A12       A(4,3,5)  129.1966  129.3555  129.6809
 A13       A(3,5,6)  125.7559  125.2760  125.5165
