optS0 = -912.194084814
tdS0 = -912.085019841
optS1 = -912.095480965
optR1 = -912.092466161

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.93337  2.91681  2.93017
  R2        R(1,11)  2.93495  2.92033  2.92966
  R3        R(1,19)  2.63514  2.63539  2.63602
  R4        R(1,20)  2.64006  2.64671  2.62202
  R5         R(2,3)  2.52858  2.52982  2.52346
  R6         R(2,9)  2.62455  2.64884  2.64401
  R7         R(3,4)  2.05576  2.05629  2.05523
  R8         R(3,5)  2.66298  2.68542  2.68084
  R9         R(5,6)  2.05095  2.05282  2.05254
 R10         R(5,7)  2.62522  2.62048  2.62442
 R11         R(7,8)  2.05276  2.05150  2.05104
 R12         R(7,9)  2.68035  2.69886  2.69123
 R13        R(9,10)  2.65504  2.68912  2.72855
 R14       R(10,18)  2.65503  2.68784  2.72866
 R15       R(10,21)  2.79388  2.78112  2.73333
 R16       R(11,12)  2.52866  2.52976  2.52358
 R17       R(11,18)  2.62521  2.65277  2.64373
 R18       R(12,13)  2.05582  2.05640  2.05526
 R19       R(12,14)  2.66271  2.68448  2.68077
 R20       R(14,15)  2.05097  2.05281  2.05259
 R21       R(14,16)  2.62532  2.62069  2.62445
 R22       R(16,17)  2.05261  2.05052  2.05121
 R23       R(16,18)  2.68028  2.69975  2.69131
 R24       R(21,22)  2.65138  2.65697  2.67468
 R25       R(21,29)  2.65128  2.65611  2.67480
 R26       R(22,23)  2.06133  2.06246  2.05666
 R27       R(22,24)  2.63197  2.63119  2.62468
 R28       R(24,25)  2.06017  2.06075  2.06064
 R29       R(24,26)  2.63707  2.63805  2.63987
 R30       R(26,27)  2.63707  2.63718  2.63976
 R31       R(26,31)  2.06064  2.06056  2.05996
 R32       R(27,28)  2.06016  2.06074  2.06069
 R33       R(27,29)  2.63190  2.63200  2.62464
 R34       R(29,30)  2.06119  2.06151  2.05680
  A1      A(2,1,11)  1.84679  1.83109  1.79115
  A2      A(2,1,19)  1.92455  1.93087  1.92935
  A3      A(2,1,20)  1.92549  1.93119  1.93013
  A4     A(11,1,19)  1.93089  1.93311  1.92948
  A5     A(11,1,20)  1.91768  1.92480  1.93047
  A6     A(19,1,20)  1.91749  1.91181  1.94758
  A7       A(1,2,3)  2.19637  2.19353  2.24762
  A8       A(1,2,9)  2.19808  2.19715  2.13396
  A9       A(3,2,9)  1.88862  1.89197  1.90081
 A10       A(2,3,4)  2.10525  2.10847  2.10773
 A11       A(2,3,5)  1.92300  1.91702  1.91210
 A12       A(4,3,5)  2.25491  2.25768  2.26336
 A13       A(3,5,6)  2.19485  2.18648  2.19068
 A14       A(3,5,7)  1.86105  1.86921  1.86840
 A15       A(6,5,7)  2.22719  2.22742  2.22410
 A16       A(5,7,8)  2.22586  2.23054  2.22108
 A17       A(5,7,9)  1.86898  1.86818  1.87032
 A18       A(8,7,9)  2.18814  2.18395  2.19119
 A19       A(2,9,7)  1.88309  1.87840  1.87273
 A20      A(2,9,10)  2.11356  2.12312  2.09091
 A21      A(7,9,10)  2.28448  2.27928  2.31461
 A22     A(9,10,18)  2.09044  2.05258  1.94036
 A23     A(9,10,21)  2.09356  2.10271  2.16875
 A24    A(18,10,21)  2.09913  2.12648  2.16751
 A25     A(1,11,12)  2.19210  2.18170  2.24795
 A26     A(1,11,18)  2.19690  2.19922  2.13362
 A27    A(12,11,18)  1.88834  1.89167  1.90078
 A28    A(11,12,13)  2.10529  2.10869  2.10778
 A29    A(11,12,14)  1.92325  1.91766  1.91211
 A30    A(13,12,14)  2.25458  2.25666  2.26329
 A31    A(12,14,15)  2.19526  2.18736  2.19069
 A32    A(12,14,16)  1.86104  1.86962  1.86838
 A33    A(15,14,16)  2.22687  2.22617  2.22410
 A34    A(14,16,17)  2.22480  2.22532  2.22130
 A35    A(14,16,18)  1.86906  1.86871  1.87025
 A36    A(17,16,18)  2.18929  2.18913  2.19105
 A37    A(10,18,11)  2.11219  2.11481  2.09150
 A38    A(10,18,16)  2.28785  2.29133  2.31401
 A39    A(11,18,16)  1.88302  1.87700  1.87281
 A40    A(10,21,22)  2.09745  2.09852  2.11701
 A41    A(10,21,29)  2.10097  2.11442  2.11614
 A42    A(22,21,29)  2.08476  2.07020  2.04864
 A43    A(21,22,23)  2.08754  2.08430  2.09363
 A44    A(21,22,24)  2.09677  2.10530  2.11353
 A45    A(23,22,24)  2.09856  2.09335  2.07559
 A46    A(22,24,25)  2.08825  2.08753  2.08264
 A47    A(22,24,26)  2.09718  2.09867  2.10470
 A48    A(25,24,26)  2.09775  2.09696  2.09579
 A49    A(24,26,27)  2.09356  2.08819  2.08007
 A50    A(24,26,31)  2.09485  2.09745  2.10147
 A51    A(27,26,31)  2.09478  2.09754  2.10142
 A52    A(26,27,28)  2.09779  2.09674  2.09592
 A53    A(26,27,29)  2.09733  2.09955  2.10465
 A54    A(28,27,29)  2.08806  2.08685  2.08256
 A55    A(21,29,27)  2.09668  2.10444  2.11359
 A56    A(21,29,30)  2.08790  2.08743  2.09324
 A57    A(27,29,30)  2.09821  2.09082  2.07589
  D1    D(11,1,2,3) -3.01228 -2.89732  2.47303
  D2    D(11,1,2,9)  0.11058  0.28382 -0.62070
  D3    D(19,1,2,3) -0.92366 -0.81191 -1.75220
  D4    D(19,1,2,9)  2.19919  2.36923  1.43725
  D5    D(20,1,2,3)  1.19754  1.31016  0.41358
  D6    D(20,1,2,9) -1.96280 -1.79189 -2.68015
  D7   D(2,1,11,12)  3.12935  2.99700 -2.47325
  D8   D(2,1,11,18) -0.14201 -0.31889  0.61939
  D9  D(19,1,11,12)  1.04490  0.91309  1.75208
 D10  D(19,1,11,18) -2.22645 -2.40280 -1.43846
 D11  D(20,1,11,12) -1.07529 -1.20619 -0.41404
 D12  D(20,1,11,18)  1.93653  1.76111  2.67860
 D13     D(1,2,3,4) -0.00782  0.04363  0.04414
 D14     D(1,2,3,5)  3.12540 -3.10343 -3.09440
 D15     D(9,2,3,4) -3.13344 -3.13172 -3.14023
 D16     D(9,2,3,5) -0.00022  0.00440  0.00442
 D17     D(1,2,9,7) -3.12007  3.10562  3.08218
 D18    D(1,2,9,10) -0.04023 -0.10286  0.03416
 D19     D(3,2,9,7)  0.00553 -0.00212 -0.01998
 D20    D(3,2,9,10)  3.08538  3.07258 -3.06800
 D21     D(2,3,5,6) -3.13357 -3.13421 -3.13376
 D22     D(2,3,5,7) -0.00525 -0.00502  0.01325
 D23     D(4,3,5,6) -0.00128  0.00131  0.01124
 D24     D(4,3,5,7)  3.12704  3.13049 -3.12493
 D25     D(3,5,7,8) -3.11197 -3.10449  3.08087
 D26     D(3,5,7,9)  0.00842  0.00354 -0.02503
 D27     D(6,5,7,8)  0.01602  0.02432 -0.05516
 D28     D(6,5,7,9)  3.13642  3.13234  3.12212
 D29     D(5,7,9,2) -0.00872 -0.00099  0.02786
 D30    D(5,7,9,10) -3.08036 -3.06758  3.05905
 D31     D(8,7,9,2)  3.11226  3.10817 -3.07883
 D32    D(8,7,9,10)  0.04062  0.04158 -0.04763
 D33   D(2,9,10,18) -0.02361 -0.10214  0.62788
 D34   D(2,9,10,21)  3.12846  3.09572 -2.63240
 D35   D(7,9,10,18)  3.04023  2.95546 -2.39220
 D36   D(7,9,10,21) -0.09089 -0.12986  0.63071
 D37  D(9,10,18,11) -0.00670  0.06920 -0.62924
 D38  D(9,10,18,16)  3.11587 -3.06105  2.39179
 D39 D(21,10,18,11)  3.12438 -3.12949  2.63094
 D40 D(21,10,18,16) -0.03623  0.02346 -0.63122
 D41  D(9,10,21,22) -0.91534 -0.85508  0.09234
 D42  D(9,10,21,29)  2.22262  2.27601 -3.10740
 D43 D(18,10,21,22)  2.23678  2.34522  3.10005
 D44 D(18,10,21,29) -0.90844 -0.80688 -0.09969
 D45  D(1,11,12,13) -0.10035 -0.13654 -0.04557
 D46  D(1,11,12,14)  3.03048  2.98673  3.09279
 D47 D(18,11,12,13) -3.13135 -3.12976  3.13977
 D48 D(18,11,12,14) -0.00051 -0.00649 -0.00505
 D49  D(1,11,18,10)  0.10337  0.17214 -0.03180
 D50  D(1,11,18,16) -3.02316 -2.97840 -3.08050
 D51 D(12,11,18,10)  3.13398 -3.11971  3.06948
 D52 D(12,11,18,16)  0.00745  0.01294  0.02077
 D53 D(11,12,14,15) -3.14154 -3.13651  3.13404
 D54 D(11,12,14,16) -0.00673 -0.00267 -0.01303
 D55 D(13,12,14,15) -0.01189 -0.01525 -0.01117
 D56 D(13,12,14,16)  3.12292  3.11859  3.12495
 D57 D(12,14,16,17) -3.12117 -3.12496 -3.08094
 D58 D(12,14,16,18)  0.01101  0.01049  0.02530
 D59 D(15,14,16,17)  0.01349  0.00866  0.05504
 D60 D(15,14,16,18) -3.13752 -3.13908 -3.12191
 D61 D(14,16,18,10) -3.13600  3.11696 -3.06060
 D62 D(14,16,18,11) -0.01154 -0.01444 -0.02850
 D63 D(17,16,18,10) -0.00358 -0.03061  0.04643
 D64 D(17,16,18,11)  3.12089  3.12116  3.07853
 D65 D(10,21,22,23) -0.02347 -0.02747  0.02132
 D66 D(10,21,22,24) -3.13774  3.13767  3.13090
 D67 D(29,21,22,23)  3.12172  3.12436 -3.06429
 D68 D(29,21,22,24)  0.00744  0.00632  0.04529
 D69 D(10,21,29,27) -3.13313 -3.13605 -3.13087
 D70 D(10,21,29,30) -0.02173 -0.02829 -0.02223
 D71 D(22,21,29,27)  0.00486 -0.00480 -0.04524
 D72 D(22,21,29,30)  3.11626  3.10296  3.06341
 D73 D(21,22,24,25)  3.12683  3.13101 -3.14141
 D74 D(21,22,24,26) -0.01268 -0.00315 -0.01086
 D75 D(23,22,24,25)  0.01273  0.01309 -0.03150
 D76 D(23,22,24,26) -3.12678 -3.12107  3.09904
 D77 D(22,24,26,27)  0.00557 -0.00166 -0.02509
 D78 D(22,24,26,31) -3.13523 -3.14109  3.13908
 D79 D(25,24,26,27) -3.13392 -3.13577  3.10537
 D80 D(25,24,26,31)  0.00846  0.00798 -0.01364
 D81 D(24,26,27,28) -3.13169 -3.12800 -3.10505
 D82 D(24,26,27,29)  0.00678  0.00318  0.02514
 D83 D(31,26,27,28)  0.00912  0.01143  0.01397
 D84 D(31,26,27,29) -3.13561 -3.14058 -3.13903
 D85 D(26,27,29,21) -0.01198  0.00010  0.01075
 D86 D(26,27,29,30) -3.12320 -3.10760 -3.09822
 D87 D(28,27,29,21)  3.12650  3.13133  3.14103
 D88 D(28,27,29,30)  0.01528  0.02364  0.03206
