From fa scan:
Fixed   = D(9,10,21,22), S, 55, 1.0000
Opposit = D(18,10,21,29)

         S0          S1  D_fixed  D_average
-912.192012 -912.095481 -48.9921  -47.61165
-912.191969 -912.095476 -47.9922  -46.95215
-912.191911 -912.095460 -46.9922  -46.29940
-912.191841 -912.095433 -45.9922  -45.64260
-912.191757 -912.095396 -44.9922  -45.00095
-912.191659 -912.095347 -43.9922  -44.38500
-912.191544 -912.095286 -42.9922  -43.75300
-912.191413 -912.095213 -41.9922  -43.16600
-912.191265 -912.095127 -40.9922  -42.57045
-912.191099 -912.095028 -39.9922  -41.97755
-912.190916 -912.094916 -38.9922  -41.38725
-912.190715 -912.094791 -37.9922  -40.79995
-912.190495 -912.094653 -36.9922  -40.21455
-912.190257 -912.094502 -35.9922  -39.63085
-912.190001 -912.094337 -34.9922  -39.05025
-912.189727 -912.094158 -33.9922  -38.47545
-912.189434 -912.093966 -32.9922  -37.90425
-912.189123 -912.093759 -31.9922  -37.33645
-912.188794 -912.093538 -30.9922  -36.77225
-912.188448 -912.093303 -29.9922  -36.21280
-912.188083 -912.093053 -28.9922  -35.65360
-912.187699 -912.092788 -27.9922  -35.09390
-912.187298 -912.092509 -26.9922  -34.53605
-912.186881 -912.092214 -25.9922  -33.98305
-912.186481 -912.091906 -24.9923  -33.51895
-912.184932 -912.092677 -23.9923  -33.72965
-912.184308 -912.092425 -22.9923  -33.06920
-912.183624 -912.092166 -21.9922  -32.38185
-912.182894 -912.091900 -20.9922  -31.65925
-912.182149 -912.091629 -19.9922  -30.93260
-912.181342 -912.091353 -18.9923  -30.19450
-912.180358 -912.091075 -17.9923  -29.33895
-912.179012 -912.090802 -16.9923  -28.22365
-912.168155 -912.091305 -15.9920  -17.83120
-912.167756 -912.091382 -14.9922  -16.84455
-912.167415 -912.091461 -13.9922  -15.89420
-912.167098 -912.091542 -12.9923  -14.94915
-912.166847 -912.091622 -11.9922  -14.02580
-912.166607 -912.091703 -10.9923  -13.12300
-912.166423 -912.091783  -9.9923  -12.24940
-912.166277 -912.091859  -8.9923  -11.42060
-912.166143 -912.091933  -7.9923  -10.60095
