From fa scan:
Fixed   = ['D(9,10,21,22)', 'S', '55', '1.0000']
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.096384 -49.0184  -47.64475
0.000043 0.096389 -48.0185  -46.98485
0.000100 0.096405 -47.0185  -46.33210
0.000170 0.096431 -46.0185  -45.67525
0.000253 0.096469 -45.0185  -45.03280
0.000351 0.096518 -44.0185  -44.41630
0.000466 0.096578 -43.0185  -43.78395
0.000596 0.096651 -42.0185  -43.19690
0.000744 0.096737 -41.0185  -42.60120
0.000909 0.096836 -40.0185  -42.00810
0.001092 0.096948 -39.0185  -41.41770
0.001293 0.097073 -38.0185  -40.83055
0.001512 0.097211 -37.0185  -40.24505
0.001749 0.097362 -36.0185  -39.66110
0.002005 0.097527 -35.0185  -39.08045
0.002278 0.097705 -34.0185  -38.50595
0.002570 0.097897 -33.0185  -37.93455
0.002881 0.098104 -32.0185  -37.36640
0.003209 0.098325 -31.0185  -36.80230
0.003554 0.098560 -30.0185  -36.24345
0.003919 0.098810 -29.0185  -35.68425
0.004302 0.099075 -28.0185  -35.12435
0.004702 0.099354 -27.0185  -34.56725
0.005118 0.099648 -26.0185  -34.01555
0.006480 0.098947 -25.0186  -34.41380
0.007031 0.099191 -24.0185  -33.76580
0.007630 0.099444 -23.0185  -33.11495
0.008329 0.099704 -22.0186  -32.41330
0.009044 0.099971 -21.0185  -31.70445
0.009779 0.100244 -20.0186  -30.98255
0.010581 0.100521 -19.0186  -30.24325
0.011547 0.100801 -18.0186  -29.40115
0.012861 0.101076 -17.0186  -28.32470
0.023782 0.100610 -16.0185  -17.85110
0.024176 0.100534 -15.0185  -16.89540
0.024500 0.100455 -14.0185  -15.94695
0.024801 0.100376 -13.0186  -15.00365
0.025064 0.100296 -12.0185  -14.07905
0.025300 0.100216 -11.0186  -13.17865
0.025474 0.100138 -10.0186  -12.31025
0.025620 0.100062  -9.0186  -11.48065
0.025756 0.099990  -8.0186  -10.66240
0.025891 0.099921  -7.0186   -9.83495
0.026026 0.099855  -6.0186   -9.00150
0.026141 0.099793  -5.0185   -8.18845
0.026236 0.099735  -4.0185   -7.39365
0.026321 0.099682  -3.0185   -6.60310
0.026399 0.099634  -2.0185   -5.81325
0.026467 0.099591  -1.0185   -5.02990
0.026525 0.099554  -0.0185   -4.25500
0.026577 0.099523   0.9815   -3.48485
0.026627 0.099497   1.9815   -2.71790
0.026680 0.099478   2.9815   -1.95525
0.026739 0.099466   3.9815   -1.19500
0.026801 0.099461   4.9815   -0.43960
0.026864 0.099462   5.9815    0.31545

From fb scan:
Fixed   = ['D(9,10,21,22)', 'S', '55', '-1.000']
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.096774 -49.7199  -49.88835
0.000054 0.096746 -48.7199  -49.22640
0.000126 0.096727 -47.7199  -48.57905
0.000216 0.096719 -46.7199  -47.92955
0.000327 0.096721 -45.7199  -47.27870
0.000453 0.096733 -44.7199  -46.62490
0.000596 0.096756 -43.7199  -45.98225
0.000753 0.096789 -42.7199  -45.34105
0.000922 0.096834 -41.7199  -44.70520
0.001108 0.096889 -40.7199  -44.07670
0.001313 0.096957 -39.7199  -43.45470
0.001536 0.097035 -38.7199  -42.83965
0.001783 0.097126 -37.7199  -42.22850
0.002056 0.097229 -36.7199  -41.61950
0.002350 0.097343 -35.7199  -41.01305
0.002676 0.097468 -34.7199  -40.39760
0.003022 0.097605 -33.7199  -39.79345
0.003387 0.097754 -32.7199  -39.17640
0.003767 0.097913 -31.7199  -38.56770
0.004164 0.098084 -30.7199  -37.95795
0.004579 0.098267 -29.7199  -37.35135
0.005010 0.098461 -28.7199  -36.74025
0.005461 0.098666 -27.7199  -36.12455
0.005933 0.098882 -26.7199  -35.50180
0.006438 0.099108 -25.7199  -34.86155
0.006968 0.099345 -24.7199  -34.22085
0.007542 0.099592 -23.7200  -33.57135
0.008169 0.099847 -22.7199  -32.90520
0.008870 0.100110 -21.7201  -32.20415
0.009596 0.100378 -20.7201  -31.48005
0.020712 0.101156 -19.7199  -23.18605
0.022587 0.101120 -18.7200  -20.91900
0.023299 0.101058 -17.7200  -19.65620
0.023787 0.100988 -16.7200  -18.58800
0.024234 0.100914 -15.7199  -17.57770
0.024623 0.100837 -14.7199  -16.60075
0.024914 0.100759 -13.7199  -15.66325
0.025195 0.100679 -12.7199  -14.74050
0.025498 0.100599 -11.7199  -13.78670
0.025693 0.100520 -10.7199  -12.90660
0.025853 0.100442  -9.7199  -12.06175
0.025994 0.100367  -8.7199  -11.23695
0.026124 0.100296  -7.7199  -10.42200
0.026271 0.100228  -6.7199   -9.58075
0.026407 0.100163  -5.7198   -8.75295
0.026516 0.100102  -4.7198   -7.94460
0.026608 0.100046  -3.7198   -7.15025
0.026690 0.099994  -2.7198   -6.35905
0.026763 0.099947  -1.7198   -5.56940
0.026824 0.099906  -0.7198   -4.78385
0.026875 0.099870   0.2802   -4.00725
0.026921 0.099840   1.2802   -3.23985
0.026970 0.099817   2.2802   -2.49360
0.027032 0.099800   3.2801   -1.73615
0.027072 0.099790   4.2801   -0.95900
0.027146 0.099786   5.2801   -0.21840
