From fa scan:
Fixed   = D(9,10,21,22), S, 55, 1.0000
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.098101 -48.7172  -47.25475
0.000048 0.098106 -47.7172  -46.60005
0.000111 0.098122 -46.7173  -45.94885
0.000187 0.098149 -45.7173  -45.29210
0.000275 0.098187 -44.7173  -44.65420
0.000378 0.098236 -43.7173  -44.04310
0.000497 0.098298 -42.7173  -43.41250
0.000631 0.098372 -41.7173  -42.82835
0.000784 0.098459 -40.7173  -42.23540
0.000955 0.098558 -39.7173  -41.64410
0.001144 0.098671 -38.7173  -41.05310
0.001352 0.098797 -37.7173  -40.46370
0.001578 0.098936 -36.7173  -39.87690
0.001822 0.099089 -35.7173  -39.29245
0.002085 0.099254 -34.7173  -38.71050
0.002366 0.099434 -33.7173  -38.13375
0.002665 0.099628 -32.7173  -37.56310
0.002983 0.099836 -31.7173  -36.99635
0.003318 0.100058 -30.7173  -36.43020
0.003672 0.100295 -29.7173  -35.86640
0.004045 0.100547 -28.7173  -35.30440
0.004436 0.100813 -27.7173  -34.74150
0.004846 0.101094 -26.7173  -34.17655
0.005274 0.101390 -25.7173  -33.61270
0.005720 0.101700 -24.7173  -33.04990
0.006185 0.102026 -23.7173  -32.48825
0.006666 0.102366 -22.7173  -31.92765
0.007165 0.102722 -21.7173  -31.37020
0.007681 0.103093 -20.7173  -30.81360
0.008213 0.103478 -19.7173  -30.26345
0.011462 0.102123 -18.7174  -29.66030
0.012863 0.102381 -17.7174  -28.55015
0.024744 0.101790 -16.7171  -18.02470
0.025094 0.101697 -15.7173  -17.06485
0.025428 0.101604 -14.7174  -16.15385
0.025728 0.101511 -13.7174  -15.24360
0.025979 0.101419 -12.7174  -14.35430
0.026176 0.101328 -11.7174  -13.49660
0.026343 0.101239 -10.7173  -12.65510
0.026486 0.101153  -9.7173  -11.83835
0.026622 0.101071  -8.7173  -11.03025
0.026762 0.100993  -7.7173  -10.21550
0.026895 0.100918  -6.7173   -9.40105
0.027005 0.100848  -5.7173   -8.60925
0.027099 0.100782  -4.7173   -7.83180
0.027187 0.100722  -3.7173   -7.05630
0.027266 0.100667  -2.7173   -6.28110
0.027335 0.100618  -1.7173   -5.50985
0.027395 0.100574  -0.7173   -4.74705
0.027450 0.100536   0.2827   -3.98720
0.027503 0.100505   1.2827   -3.23005
0.027555 0.100480   2.2827   -2.47405
0.027610 0.100462   3.2827   -1.71820
0.027668 0.100451   4.2827   -0.96820
0.027730 0.100446   5.2827   -0.22340
0.027797 0.100449   6.2827    0.52115

From fb scan:
Fixed   = D(9,10,21,22), S, 55, -1.000
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.098549 -49.5998  -49.79605
0.000071 0.098517 -48.5998  -49.13795
0.000159 0.098494 -47.5998  -48.48320
0.000259 0.098481 -46.5998  -47.82215
0.000380 0.098479 -45.5998  -47.16880
0.000509 0.098487 -44.5997  -46.51050
0.000651 0.098505 -43.5997  -45.85565
0.000808 0.098534 -42.5997  -45.20660
0.000983 0.098574 -41.5997  -44.56490
0.001175 0.098625 -40.5997  -43.93165
0.001385 0.098688 -39.5997  -43.30640
0.001618 0.098763 -38.5997  -42.68750
0.001878 0.098849 -37.5997  -42.07075
0.002161 0.098947 -36.5997  -41.45580
0.002476 0.099056 -35.5998  -40.84655
0.002807 0.099177 -34.5998  -40.23410
0.003156 0.099309 -33.5998  -39.62360
0.003520 0.099452 -32.5998  -39.01430
0.003909 0.099608 -31.5998  -38.40150
0.004319 0.099774 -30.5997  -37.79195
0.004744 0.099952 -29.5997  -37.17880
0.005188 0.100141 -28.5997  -36.56115
0.005664 0.100340 -27.5998  -35.92735
0.006165 0.100550 -26.5998  -35.29100
0.006701 0.100771 -25.5998  -34.64545
0.007280 0.101000 -24.5998  -33.99540
0.007922 0.101238 -23.5998  -33.31155
0.008602 0.101484 -22.5998  -32.63705
0.009315 0.101736 -21.6000  -31.91935
0.022012 0.102467 -20.5999  -22.93970
0.023531 0.102401 -19.5999  -21.09915
0.024172 0.102321 -18.5999  -19.95400
0.024712 0.102234 -17.5998  -18.90285
0.025156 0.102143 -16.5998  -17.90845
0.025509 0.102050 -15.5998  -16.96555
0.025826 0.101958 -14.5998  -16.04865
0.026103 0.101865 -13.5998  -15.15410
0.026379 0.101772 -12.5997  -14.24520
0.026564 0.101682 -11.5997  -13.39050
0.026728 0.101593 -10.5997  -12.56020
0.026873 0.101508  -9.5997  -11.74670
0.027013 0.101426  -8.5997  -10.93155
0.027148 0.101349  -7.5997  -10.11930
0.027280 0.101275  -6.5997   -9.30865
0.027398 0.101205  -5.5997   -8.51785
0.027493 0.101140  -4.5997   -7.73480
0.027577 0.101080  -3.5997   -6.95980
0.027652 0.101026  -2.5997   -6.18615
0.027717 0.100977  -1.5997   -5.41630
0.027775 0.100934  -0.5997   -4.65145
0.027825 0.100898   0.4003   -3.89100
0.027870 0.100867   1.4003   -3.13300
0.027918 0.100843   2.4003   -2.39275
0.027981 0.100826   3.4003   -1.63730
0.028025 0.100815   4.4002   -0.86585
0.028095 0.100812   5.4002   -0.13390
