optS0 = -912.192588687
tdS0  = -912.084443003
optS1 = -912.092254805
optR1 = -912.089908472

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.5536        1.5443        1.5521
  R2        R(1,11)        1.5545        1.5463        1.5518
  R3        R(1,19)        1.3931        1.3935        1.3929
  R4        R(1,20)        1.3956        1.3992        1.3868
  R5         R(2,3)        1.3375        1.3377        1.3348
  R6         R(2,9)        1.3886        1.4023        1.3991
  R7         R(3,4)        1.0878        1.0881        1.0875
  R8         R(3,5)        1.4096        1.4212        1.4185
  R9         R(5,6)        1.0853        1.0863        1.0862
 R10         R(5,7)        1.3889        1.3872        1.3893
 R11         R(7,8)        1.0863        1.0856        1.0854
 R12         R(7,9)        1.4186        1.4271        1.4229
 R13        R(9,10)        1.4047        1.4236        1.4446
 R14       R(10,18)        1.4047        1.4228        1.4447
 R15       R(10,21)        1.4787        1.4709        1.4440
 R16       R(11,12)        1.3375        1.3377        1.3348
 R17       R(11,18)        1.3889        1.4045        1.3989
 R18       R(12,13)        1.0879        1.0881        1.0875
 R19       R(12,14)        1.4094        1.4206        1.4185
 R20       R(14,15)        1.0853        1.0863        1.0862
 R21       R(14,16)        1.3890        1.3873        1.3894
 R22       R(16,17)        1.0862        1.0850        1.0855
 R23       R(16,18)        1.4186        1.4276        1.4229
 R24       R(21,22)        1.4029        1.4062        1.4158
 R25       R(21,29)        1.4028        1.4057        1.4158
 R26       R(22,23)        1.0908        1.0914        1.0885
 R27       R(22,24)        1.3928        1.3921        1.3885
 R28       R(24,25)        1.0902        1.0905        1.0904
 R29       R(24,26)        1.3954        1.3960        1.3971
 R30       R(26,27)        1.3954        1.3955        1.3971
 R31       R(26,31)        1.0905        1.0904        1.0901
 R32       R(27,28)        1.0902        1.0905        1.0905
 R33       R(27,29)        1.3927        1.3926        1.3885
 R34       R(29,30)        1.0908        1.0908        1.0886
  A1      A(2,1,11)      105.7058      104.7361      102.4503
  A2      A(2,1,19)      110.2418      110.6150      110.5508
  A3      A(2,1,20)      110.2913      110.6478      110.5229
  A4     A(11,1,19)      110.6087      110.7323      110.5616
  A5     A(11,1,20)      109.8364      110.2719      110.5386
  A6     A(19,1,20)      110.0767      109.7520      111.8417
  A7       A(1,2,3)      125.8077      125.6857      128.8198
  A8       A(1,2,9)      125.9665      125.8595      122.2264
  A9       A(3,2,9)      108.2209      108.4204      108.8939
 A10       A(2,3,4)      120.5726      120.7486      120.7109
 A11       A(2,3,5)      110.1823      109.8204      109.5505
 A12       A(4,3,5)      129.2430      129.4302      129.7383
 A13       A(3,5,6)      125.7587      125.3026      125.5348
 A14       A(3,5,7)      106.6241      107.1009      107.0488
 A15       A(6,5,7)      127.6120      127.5921      127.4160
 A16       A(5,7,8)      127.5613      127.8080      127.3371
 A17       A(5,7,9)      107.0710      107.0257      107.1254
 A18       A(8,7,9)      125.3550      125.1332      125.5081
 A19       A(2,9,7)      107.8993      107.6317      107.3553
 A20      A(2,9,10)      121.0900      121.6444      119.7656
 A21      A(7,9,10)      130.8888      130.5731      132.5804
 A22     A(9,10,18)      119.8109      117.5502      110.9181
 A23     A(9,10,21)      119.9276      120.4456      124.3684
 A24    A(18,10,21)      120.2584      121.9132      124.3157
 A25     A(1,11,12)      125.5548      124.9470      128.8307
 A26     A(1,11,18)      125.8966      125.9946      122.2124
 A27    A(12,11,18)      108.2047      108.4029      108.8925
 A28    A(11,12,13)      120.5751      120.7558      120.7135
 A29    A(11,12,14)      110.1975      109.8589      109.5513
 A30    A(13,12,14)      129.2239      129.3734      129.7349
 A31    A(12,14,15)      125.7817      125.3530      125.5367
