optS0 = -912.192588687
tdS0 = -912.084443003
optS1 = -912.092254805
optR1 = -912.089908472

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.93595  2.91825  2.93301
  R2        R(1,11)  2.93764  2.92201  2.93252
  R3        R(1,19)  2.63259  2.63327  2.63228
  R4        R(1,20)  2.63732  2.64403  2.62064
  R5         R(2,3)  2.52742  2.52797  2.52237
  R6         R(2,9)  2.62398  2.64997  2.64387
  R7         R(3,4)  2.05569  2.05613  2.05511
  R8         R(3,5)  2.66373  2.68565  2.68062
  R9         R(5,6)  2.05093  2.05278  2.05254
 R10         R(5,7)  2.62469  2.62142  2.62549
 R11         R(7,8)  2.05275  2.05147  2.05119
 R12         R(7,9)  2.68075  2.69675  2.68888
 R13        R(9,10)  2.65458  2.69019  2.72983
 R14       R(10,18)  2.65455  2.68869  2.73004
 R15       R(10,21)  2.79438  2.77954  2.72885
 R16       R(11,12)  2.52748  2.52795  2.52247
 R17       R(11,18)  2.62466  2.65417  2.64363
 R18       R(12,13)  2.05576  2.05625  2.05515
 R19       R(12,14)  2.66347  2.68459  2.68056
 R20       R(14,15)  2.05095  2.05279  2.05258
 R21       R(14,16)  2.62478  2.62165  2.62551
 R22       R(16,17)  2.05260  2.05039  2.05131
 R23       R(16,18)  2.68069  2.69773  2.68894
 R24       R(21,22)  2.65108  2.65738  2.67546
 R25       R(21,29)  2.65097  2.65644  2.67556
 R26       R(22,23)  2.06136  2.06242  2.05700
 R27       R(22,24)  2.63196  2.63078  2.62395
 R28       R(24,25)  2.06022  2.06077  2.06065
 R29       R(24,26)  2.63688  2.63799  2.64017
 R30       R(26,27)  2.63688  2.63703  2.64005
 R31       R(26,31)  2.06066  2.06054  2.05996
 R32       R(27,28)  2.06021  2.06077  2.06070
 R33       R(27,29)  2.63189  2.63168  2.62394
 R34       R(29,30)  2.06122  2.06140  2.05710
  A1      A(2,1,11)  1.84491  1.82799  1.78809
  A2      A(2,1,19)  1.92408  1.93060  1.92948
  A3      A(2,1,20)  1.92495  1.93117  1.92899
  A4     A(11,1,19)  1.93049  1.93264  1.92966
  A5     A(11,1,20)  1.91701  1.92461  1.92926
  A6     A(19,1,20)  1.92120  1.91553  1.95201
  A7       A(1,2,3)  2.19576  2.19363  2.24833
  A8       A(1,2,9)  2.19853  2.19666  2.13325
  A9       A(3,2,9)  1.88881  1.89229  1.90056
 A10       A(2,3,4)  2.10439  2.10746  2.10680
 A11       A(2,3,5)  1.92304  1.91673  1.91202
 A12       A(4,3,5)  2.25572  2.25898  2.26436
 A13       A(3,5,6)  2.19490  2.18694  2.19099
 A14       A(3,5,7)  1.86094  1.86926  1.86835
 A15       A(6,5,7)  2.22725  2.22690  2.22383
 A16       A(5,7,8)  2.22636  2.23067  2.22245
 A17       A(5,7,9)  1.86874  1.86795  1.86969
 A18       A(8,7,9)  2.18786  2.18399  2.19053
 A19       A(2,9,7)  1.88320  1.87853  1.87370
 A20      A(2,9,10)  2.11342  2.12310  2.09030
 A21      A(7,9,10)  2.28444  2.27893  2.31396
 A22     A(9,10,18)  2.09110  2.05164  1.93589
 A23     A(9,10,21)  2.09313  2.10217  2.17064
 A24    A(18,10,21)  2.09891  2.12779  2.16972
 A25     A(1,11,12)  2.19135  2.18074  2.24852
 A26     A(1,11,18)  2.19731  2.19902  2.13301
 A27    A(12,11,18)  1.88853  1.89199  1.90053
 A28    A(11,12,13)  2.10443  2.10759  2.10685
 A29    A(11,12,14)  1.92331  1.91740  1.91203
 A30    A(13,12,14)  2.25538  2.25799  2.26430
 A31    A(12,14,15)  2.19530  2.18782  2.19103
 A32    A(12,14,16)  1.86092  1.86973  1.86833
 A33    A(15,14,16)  2.22694  2.22559  2.22382
 A34    A(14,16,17)  2.22532  2.22510  2.22261
 A35    A(14,16,18)  1.86882  1.86852  1.86964
 A36    A(17,16,18)  2.18900  2.18953  2.19042
