From fa scan:
Fixed   = D(9,10,21,22), S, 55, 1.0000
Opposit = D(18,10,21,29)

         S0          S1  D_fixed  D_average
-912.190356 -912.092255 -48.7172  -47.25475
-912.190308 -912.092250 -47.7172  -46.60005
-912.190245 -912.092234 -46.7173  -45.94885
-912.190169 -912.092207 -45.7173  -45.29210
-912.190080 -912.092169 -44.7173  -44.65420
-912.189978 -912.092120 -43.7173  -44.04310
-912.189859 -912.092058 -42.7173  -43.41250
-912.189725 -912.091984 -41.7173  -42.82835
-912.189572 -912.091897 -40.7173  -42.23540
-912.189401 -912.091798 -39.7173  -41.64410
-912.189212 -912.091685 -38.7173  -41.05310
-912.189004 -912.091559 -37.7173  -40.46370
-912.188778 -912.091420 -36.7173  -39.87690
-912.188533 -912.091267 -35.7173  -39.29245
-912.188271 -912.091101 -34.7173  -38.71050
-912.187990 -912.090922 -33.7173  -38.13375
-912.187691 -912.090728 -32.7173  -37.56310
-912.187373 -912.090520 -31.7173  -36.99635
-912.187038 -912.090298 -30.7173  -36.43020
-912.186684 -912.090061 -29.7173  -35.86640
-912.186311 -912.089809 -28.7173  -35.30440
-912.185919 -912.089543 -27.7173  -34.74150
-912.185510 -912.089262 -26.7173  -34.17655
-912.185082 -912.088966 -25.7173  -33.61270
-912.184636 -912.088655 -24.7173  -33.04990
-912.184171 -912.088330 -23.7173  -32.48825
-912.183690 -912.087989 -22.7173  -31.92765
-912.183191 -912.087634 -21.7173  -31.37020
-912.182675 -912.087263 -20.7173  -30.81360
-912.182143 -912.086877 -19.7173  -30.26345
-912.178894 -912.088233 -18.7174  -29.66030
-912.177493 -912.087975 -17.7174  -28.55015
-912.165612 -912.088566 -16.7171  -18.02470
-912.165262 -912.088658 -15.7173  -17.06485
-912.164928 -912.088751 -14.7174  -16.15385
-912.164628 -912.088844 -13.7174  -15.24360
-912.164376 -912.088937 -12.7174  -14.35430
-912.164180 -912.089028 -11.7174  -13.49660
-912.164012 -912.089117 -10.7173  -12.65510
-912.163870 -912.089203  -9.7173  -11.83835
-912.163734 -912.089285  -8.7173  -11.03025
-912.163594 -912.089363  -7.7173  -10.21550
-912.163461 -912.089438  -6.7173   -9.40105
-912.163351 -912.089508  -5.7173   -8.60925
-912.163257 -912.089573  -4.7173   -7.83180
-912.163169 -912.089634  -3.7173   -7.05630
-912.163089 -912.089689  -2.7173   -6.28110
-912.163020 -912.089738  -1.7173   -5.50985
-912.162961 -912.089782  -0.7173   -4.74705
-912.162906 -912.089819   0.2827   -3.98720
-912.162853 -912.089851   1.2827   -3.23005
-912.162801 -912.089876   2.2827   -2.47405
-912.162745 -912.089894   3.2827   -1.71820
-912.162688 -912.089905   4.2827   -0.96820
-912.162625 -912.089909   5.2827   -0.22340
-912.162559 -912.089907   6.2827    0.52115

From fb scan:
Fixed   = D(9,10,21,22), S, 55, -1.000
Opposit = D(18,10,21,29)

         S0          S1  D_fixed  D_average
-912.190720 -912.092171 -49.5998  -49.79605
-912.190650 -912.092204 -48.5998  -49.13795
-912.190561 -912.092226 -47.5998  -48.48320
-912.190461 -912.092239 -46.5998  -47.82215
-912.190341 -912.092241 -45.5998  -47.16880
-912.190212 -912.092234 -44.5997  -46.51050
-912.190070 -912.092215 -43.5997  -45.85565
-912.189912 -912.092186 -42.5997  -45.20660
-912.189738 -912.092146 -41.5997  -44.56490
-912.189546 -912.092095 -40.5997  -43.93165
-912.189335 -912.092032 -39.5997  -43.30640
-912.189103 -912.091958 -38.5997  -42.68750
-912.188843 -912.091871 -37.5997  -42.07075
-912.188560 -912.091774 -36.5997  -41.45580
-912.188244 -912.091664 -35.5998  -40.84655
-912.187913 -912.091544 -34.5998  -40.23410
-912.187565 -912.091411 -33.5998  -39.62360
-912.187200 -912.091268 -32.5998  -39.01430
-912.186811 -912.091113 -31.5998  -38.40150
-912.186401 -912.090946 -30.5997  -37.79195
-912.185976 -912.090769 -29.5997  -37.17880
-912.185532 -912.090580 -28.5997  -36.56115
-912.185056 -912.090380 -27.5998  -35.92735
-912.184555 -912.090170 -26.5998  -35.29100
-912.184020 -912.089950 -25.5998  -34.64545
-912.183440 -912.089720 -24.5998  -33.99540
-912.182798 -912.089482 -23.5998  -33.31155
-912.182119 -912.089237 -22.5998  -32.63705
